ucb,ts,ovr,egr,egr2,agr,agr2,efr,ac,aac,sft
24,24,24,25,25,18,22,23,42,42,27
24,24,24,24,24,32,25,26,42,42,25
19,19,19,22,22,21,20,28,42,42,23
26,26,26,25,25,23,24,23,44,44,19
29,29,29,29,29,27,31,32,41,41,29
24,24,24,23,23,28,29,22,42,42,27
19,19,19,18,18,26,26,25,42,42,24
25,25,25,22,22,25,24,20,38,38,22
20,20,20,20,16,27,23,28,42,42,24
27,27,27,25,25,29,27,19,41,41,28
25,25,25,25,25,25,23,29,41,41,22
32,32,32,33,32,30,31,21,37,37,28
19,19,19,19,19,22,19,27,38,38,19
25,25,25,26,28,28,27,28,38,38,25
24,24,24,25,30,25,26,25,38,38,27
24,24,24,26,26,24,20,27,37,37,21
29,29,29,27,27,27,26,31,40,40,26
27,27,27,27,27,20,21,23,41,41,25
26,26,26,23,24,24,25,28,42,42,26
23,23,23,20,19,26,26,29,42,42,28
28,28,28,26,25,26,28,20,42,42,28
28,28,28,29,29,26,30,30,42,42,28
29,29,29,30,26,36,32,30,41,41,32
27,27,27,29,29,27,33,22,41,41,23
26,26,26,25,25,29,28,26,42,42,28
26,26,26,31,30,27,27,27,42,42,25
23,23,23,21,20,27,23,27,42,42,19
24,24,24,22,22,24,23,25,42,42,26
22,22,22,21,21,23,22,26,41,41,24
27,27,27,26,29,19,29,24,41,41,28
25,25,25,28,30,24,26,42,42,42,25
16,16,16,19,20,30,15,39,39,39,19
23,23,23,21,21,25,24,38,38,38,23
28,28,28,26,25,24,27,38,38,38,28
28,28,28,28,29,24,29,37,37,37,28
18,18,18,15,14,24,18,37,37,37,21
19,19,19,17,18,30,24,37,37,37,20
27,27,27,24,23,27,29,38,38,38,24
24,24,24,23,22,22,25,38,38,38,23
27,27,27,26,28,28,24,38,38,38,26
18,18,18,19,19,23,18,37,37,37,17
29,29,29,27,27,29,29,37,37,37,31
20,20,20,23,23,18,22,37,37,37,20
24,24,24,24,23,22,23,38,38,38,22
27,27,27,29,29,27,25,38,38,38,22
26,26,26,24,26,35,24,38,38,38,28
21,21,21,19,19,28,20,37,37,37,23
24,24,24,24,23,31,27,37,37,37,26
25,25,25,25,25,24,25,37,37,37,28
29,29,29,27,27,26,25,38,38,38,27
19,19,19,19,22,23,20,38,38,38,21
22,22,22,23,25,24,24,38,38,38,23
25,25,25,26,25,24,26,40,40,40,26
26,26,26,24,23,29,23,41,41,41,24
27,27,27,25,24,19,29,41,41,41,24
25,25,25,23,26,23,26,41,41,41,26
28,28,28,26,26,29,30,38,38,38,26
25,25,25,25,26,22,23,38,38,38,24
28,28,28,27,27,28,27,41,41,41,24
28,28,28,28,26,22,24,41,41,41,28
22,22,22,23,23,25,24,41,41,41,23
19,19,19,20,17,21,18,42,42,42,20
24,24,24,23,23,24,23,42,42,42,25
27,27,27,25,26,25,25,42,42,42,26
25,25,25,23,26,26,24,42,42,42,26
21,21,21,18,17,24,24,41,41,41,22
32,32,32,31,31,30,30,41,41,41,31
26,26,26,27,25,26,25,42,42,42,27
22,22,22,22,20,23,20,42,42,42,19
25,25,25,27,28,25,22,42,42,42,25
27,27,27,29,26,27,30,42,42,42,26
27,27,27,27,26,20,27,41,41,41,26
28,28,28,32,30,29,30,39,39,39,29
21,21,21,21,20,22,23,38,38,38,22
17,17,17,16,19,20,18,38,38,38,18
28,28,28,24,25,26,27,38,38,38,28
26,26,26,26,24,30,24,37,37,37,24
23,23,23,21,22,22,21,37,37,37,24
24,24,24,24,23,24,24,37,37,37,24
30,30,30,32,31,32,30,38,38,38,28
19,19,19,20,20,24,18,38,38,38,19
28,28,28,24,23,26,28,38,38,38,28
22,22,22,22,21,30,25,37,37,37,22
19,19,19,18,19,24,20,37,37,37,21
33,33,33,30,30,31,31,37,37,37,30
25,25,25,25,23,27,24,38,38,38,29
27,27,27,29,21,27,26,38,38,38,27
31,31,31,32,33,33,35,38,38,38,33
27,27,27,27,31,28,27,37,37,37,27
23,23,23,24,23,22,23,37,37,37,23
26,26,26,23,27,28,26,37,37,37,28
23,23,23,23,22,17,24,38,38,38,24
25,25,25,26,25,22,26,38,38,38,26
22,22,22,23,21,27,22,38,38,38,22
19,19,19,18,18,22,17,37,37,37,20
28,28,28,26,26,26,28,37,37,37,28
