ucb,ts,ovr,egr,egr2,agr,agr2,efr,ac,aac,sft
23,23,23,22,22,21,27,26,35,35,28
27,27,27,25,25,29,26,27,43,43,24
20,20,20,21,21,28,23,31,31,31,26
28,28,28,27,27,25,26,23,36,36,19
25,25,25,25,25,23,25,26,39,39,23
34,34,34,31,31,22,31,20,40,40,27
21,21,21,20,20,24,24,25,38,38,26
27,27,27,28,28,27,26,26,26,26,22
24,24,24,22,24,25,31,24,24,24,26
31,31,31,31,31,25,31,27,23,23,28
22,22,22,22,22,22,26,24,28,28,27
24,24,24,23,24,26,25,29,35,35,26
32,32,32,30,30,31,32,24,21,21,32
27,27,27,24,22,26,25,26,20,20,23
27,27,27,26,27,20,25,20,19,19,30
27,27,27,27,27,25,23,22,24,24,24
30,30,30,30,30,30,31,32,27,27,25
24,24,24,22,22,19,22,26,22,22,20
22,22,22,23,22,26,21,30,22,22,26
24,24,24,25,24,29,25,28,21,21,23
26,26,26,28,29,28,26,20,22,22,30
23,23,23,20,20,23,23,25,21,21,23
24,24,24,27,23,19,19,23,22,22,27
21,21,21,23,23,29,19,28,21,21,25
23,23,23,24,24,22,25,27,21,21,23
32,32,32,31,30,25,29,27,22,22,31
26,26,26,28,29,26,28,24,21,21,24
26,26,26,22,28,26,23,25,22,22,28
26,26,26,25,27,29,24,22,21,21,24
26,26,26,29,28,30,26,25,22,22,27
26,26,26,25,23,25,25,19,19,19,30
27,27,27,28,31,21,30,20,20,20,26
39,39,39,39,39,33,32,28,22,22,36
27,27,27,25,22,19,24,29,21,21,23
28,28,28,26,25,28,25,31,19,19,26
24,24,24,23,22,28,26,29,21,21,29
26,26,26,26,25,33,25,28,22,22,27
30,30,30,29,30,16,28,19,19,19,31
20,20,20,17,18,24,23,20,20,20,19
25,25,25,26,26,20,26,22,22,22,32
28,28,28,27,27,25,28,21,21,21,29
30,30,30,30,30,28,28,22,22,22,30
32,32,32,31,31,32,28,21,21,21,28
13,13,13,13,14,13,14,21,21,21,17
24,24,24,20,20,22,24,21,21,21,23
25,25,25,25,21,24,25,19,19,19,23
19,19,19,21,21,26,18,19,19,19,21
22,22,22,24,23,19,23,19,19,19,22
20,20,20,18,22,23,22,22,22,22,20
24,24,24,20,20,23,22,21,21,21,22
27,27,27,27,24,29,26,22,22,22,29
17,17,17,16,18,21,19,21,21,21,20
23,23,23,24,27,22,26,20,20,20,23
32,32,32,30,31,25,29,21,21,21,32
30,30,30,30,27,32,32,20,20,20,31
24,24,24,26,23,24,25,18,18,18,23
33,33,33,31,31,26,29,21,21,21,27
25,25,25,25,26,30,27,22,22,22,24
22,22,22,21,23,26,23,21,21,21,26
22,22,22,22,22,26,24,21,21,21,22
29,29,29,28,28,26,29,22,22,22,28
29,29,29,32,29,21,32,20,20,20,30
23,23,23,22,22,25,22,21,21,21,19
20,20,20,20,19,22,22,19,19,19,21
22,22,22,24,23,25,25,19,19,19,20
26,26,26,27,26,23,29,20,20,20,27
24,24,24,25,21,26,26,21,21,21,23
20,20,20,21,23,32,21,22,22,22,19
27,27,27,23,25,28,25,21,21,21,26
23,23,23,25,26,29,22,22,22,22,23
30,30,30,26,27,16,25,21,21,21,31
