ucb,ts,ovr,egr,egr2,agr,agr2,efr,ac,aac,sft
22,22,22,23,23,24,24,27,43,50,29
24,24,24,22,22,26,25,24,43,50,23
19,19,19,22,22,19,20,22,47,50,21
24,24,24,25,25,23,22,23,44,50,21
24,24,24,24,24,28,28,29,47,50,26
31,31,31,30,30,25,32,21,45,49,26
19,19,19,18,18,20,20,19,43,46,23
28,28,28,25,25,26,25,23,3,47,23
22,22,22,18,18,29,23,24,50,50,23
28,28,28,26,26,30,26,20,50,50,27
24,24,24,24,24,24,22,30,50,50,23
29,29,29,28,29,25,26,26,48,48,27
25,25,25,23,23,26,27,29,46,46,23
30,30,30,29,31,29,30,29,49,49,30
25,25,25,24,25,28,23,28,49,49,28
30,30,30,28,28,28,22,23,47,47,27
18,18,18,20,20,18,17,34,49,49,21
28,28,28,30,30,25,26,26,48,48,26
26,26,26,27,28,28,25,30,50,50,28
27,27,27,24,23,24,26,29,48,48,27
24,24,24,22,23,26,26,24,50,50,25
28,28,28,27,27,28,28,26,50,50,26
32,32,32,33,31,29,35,27,50,50,33
28,28,28,28,28,26,32,21,50,50,28
26,26,26,23,23,29,26,26,50,50,28
24,24,24,27,26,29,25,25,50,50,25
19,19,19,17,16,27,21,25,50,50,15
24,24,24,24,24,24,23,25,50,50,26
25,25,25,22,22,24,25,27,50,50,25
22,22,22,23,24,18,22,23,50,50,21
25,25,25,26,28,24,26,50,50,50,25
23,23,23,26,25,27,20,50,50,50,26
27,27,27,25,25,29,28,46,46,46,28
24,24,24,26,25,22,27,46,46,46,26
25,25,25,25,24,17,26,46,46,46,27
20,20,20,17,18,28,20,47,47,47,17
24,24,24,22,23,21,25,46,46,46,21
27,27,27,24,25,25,27,46,46,46,24
26,26,26,27,26,28,25,46,46,4,29
23,23,23,26,24,30,24,46,46,46,24
25,25,25,26,26,30,25,46,46,46,24
22,22,22,22,22,28,24,46,46,46,24
20,20,20,23,23,22,22,47,47,47,22
24,24,24,24,25,22,23,46,46,46,25
25,25,25,27,27,27,23,46,46,46,22
26,26,26,26,28,31,22,46,46,46,26
22,22,22,20,20,23,21,46,46,46,22
25,25,25,25,26,28,26,46,46,46,27
29,29,29,29,27,24,29,47,47,47,30
27,27,27,25,25,26,25,46,46,46,27
27,27,27,25,24,21,26,46,46,46,29
20,20,20,21,25,20,22,46,46,46,21
31,31,31,30,31,20,30,46,46,46,32
27,27,27,23,22,28,26,46,46,46,28
22,22,22,20,21,24,24,46,46,46,19
23,23,23,25,24,19,28,47,47,47,24
26,26,26,22,22,31,26,46,46,46,28
23,23,23,23,24,22,25,46,46,46,22
29,29,29,28,26,27,28,46,46,46,25
29,29,29,25,25,23,25,46,46,46,29
23,23,23,24,24,26,23,46,46,46,22
22,22,22,23,20,24,23,47,47,47,21
24,24,24,23,19,24,25,46,46,46,24
23,23,23,21,24,23,23,46,46,46,26
23,23,23,25,26,28,22,46,46,46,25
20,20,20,17,16,23,21,46,46,46,21
23,23,23,24,24,25,25,46,46,46,24
28,28,28,29,27,26,31,46,46,46,29
25,25,25,25,23,22,25,47,47,47,22
27,27,27,23,26,27,26,46,46,46,27
31,31,31,27,28,29,28,46,46,46,30
38,38,38,36,35,23,38,46,46,46,35
31,31,31,25,25,26,27,46,46,46,32
21,21,21,21,20,24,23,46,46,46,19
20,20,20,17,18,25,19,47,47,47,19
32,32,32,28,29,32,31,46,46,46,32
27,27,27,29,27,33,25,46,46,46,27
20,20,20,18,19,23,20,46,46,46,21
23,23,23,23,24,23,21,46,46,46,25
24,24,24,26,29,26,26,46,46,46,22
21,21,21,20,22,24,20,46,46,46,21
29,29,29,23,22,21,29,47,47,47,31
23,23,23,25,24,25,26,46,46,46,23
18,18,18,17,16,27,17,46,46,46,19
34,34,34,31,31,36,36,46,46,46,31
31,31,31,29,29,29,30,46,46,46,31
23,23,23,25,21,25,22,46,46,46,26
24,24,24,31,30,26,30,47,47,47,24
28,28,28,28,32,29,26,46,46,46,26
24,24,24,25,24,25,26,46,46,46,24
25,25,25,24,24,25,25,46,46,46,21
21,21,21,19,18,19,22,46,46,46,22
23,23,23,22,23,24,22,46,46,46,24
28,28,28,27,25,21,26,46,46,46,28
25,25,25,24,24,24,23,47,47,47,26
25,25,25,23,25,23,23,46,46,46,25
35,35,35,36,35,31,36,46,46,46,36
28,28,28,25,30,28,28,46,46,46,28
24,24,24,25,26,27,25,46,46,46,24
24,24,24,25,23,27,25,46,46,46,24
28,28,28,29,27,29,30,47,47,47,30
18,18,18,17,18,23,19,46,46,46,19
26,26,26,24,24,27,27,46,46,46,26
30,30,30,29,29,32,27,46,46,46,30
20,20,20,18,18,18,19,46,46,46,20
21,21,21,22,25,19,21,46,46,46,21
23,23,23,22,22,22,23,46,46,46,23
21,21,21,24,24,22,23,47,47,47,22
21,21,21,22,22,23,21,46,46,46,22
26,26,26,27,26,24,25,46,46,46,24
23,23,23,25,25,32,25,46,46,46,22
28,28,28,27,26,30,29,46,46,46,27
26,26,26,29,28,32,26,46,46,46,27
28,28,28,29,30,26,28,47,47,47,28
23,23,23,22,23,22,22,46,46,46,23
24,24,24,26,27,28,24,46,46,46,24
26,26,26,27,27,21,26,46,46,46,27
31,31,31,30,30,35,31,46,46,46,31
26,26,26,26,26,23,26,46,46,46,27
29,29,29,28,24,34,29,46,46,46,29
25,25,25,24,24,24,24,47,47,47,28
31,31,31,31,31,28,30,46,46,46,31
22,22,22,26,27,22,22,46,46,46,22
23,23,23,22,24,21,22,46,46,46,24
27,27,27,27,23,24,28,46,46,46,27
26,26,26,25,26,23,26,46,46,46,24
32,32,32,32,32,29,33,47,47,47,34
27,27,27,27,25,27,28,46,46,46,24
24,24,24,24,23,27,27,46,46,46,24
29,29,29,27,26,22,26,46,46,46,29
26,26,26,25,27,24,27,46,46,46,27
22,22,22,24,26,23,24,46,46,46,22
29,29,29,29,28,30,30,46,46,46,30
30,30,30,28,28,18,30,47,47,47,30
19,19,19,22,21,29,18,46,46,46,18
24,24,24,26,27,26,24,46,46,46,24
26,26,26,25,27,28,25,46,46,46,26
24,24,24,24,23,29,24,46,46,46,23
27,27,27,26,22,20,27,46,46,46,27
29,29,29,29,29,26,28,47,47,47,29
24,24,24,26,25,26,24,46,46,46,23
24,24,24,27,27,24,25,46,46,46,25
24,24,24,24,25,25,23,46,46,46,25
23,23,23,26,28,27,23,46,46,46,23
25,25,25,24,25,25,27,46,46,46,26
30,30,30,29,25,24,30,46,46,46,30
28,28,28,29,23,22,27,47,47,47,28
24,24,24,23,19,20,25,46,46,46,24
21,21,21,20,21,21,22,46,46,46,21
20,20,20,20,19,16,21,46,46,46,20
30,30,30,26,29,27,31,46,46,46,29
24,24,24,23,23,22,22,46,46,46,24
21,21,21,20,22,27,22,47,47,47,21
21,21,21,21,19,32,21,46,46,46,20
24,24,24,27,28,24,25,46,46,46,22
25,25,25,22,23,25,25,46,46,46,25
25,25,25,27,27,28,27,46,46,46,25
27,27,27,27,28,24,28,46,46,46,27
28,28,28,29,28,28,28,46,46,46,28
24,24,24,24,25,23,22,47,47,47,25
26,26,26,27,28,29,26,46,46,46,26
23,23,23,22,23,25,24,46,46,46,23
29,29,29,29,28,27,27,46,46,46,29
26,26,26,25,32,24,26,46,46,46,26
19,19,19,19,20,32,20,46,46,46,19
28,28,28,29,27,29,29,47,47,47,28
27,27,27,26,25,24,27,46,46,46,28
24,24,24,25,23,26,25,43,43,43,24
22,22,22,23,25,21,23,42,42,42,23
23,23,23,23,21,25,23,43,43,43,23
25,25,25,27,29,21,25,42,42,42,26
29,29,29,28,28,33,30,42,42,42,29
27,27,27,29,29,26,27,43,43,43,27
23,23,23,25,25,26,23,42,42,42,23
18,18,18,19,19,27,18,43,43,43,19
24,24,24,23,23,20,24,47,47,47,24
26,26,26,26,25,27,28,46,46,46,26
22,22,22,23,25,22,22,46,46,46,22
21,21,21,20,19,23,22,46,46,46,21
20,20,20,19,18,22,20,46,46,46,21
28,28,28,28,28,26,29,46,46,46,28
22,22,22,24,23,21,22,46,46,46,22
30,30,30,30,32,21,31,47,47,47,30
24,24,24,23,23,27,25,46,46,46,24
26,26,26,26,27,27,25,46,46,46,26
23,23,23,22,26,31,24,46,46,46,23
32,32,32,32,33,26,30,46,46,46,32
20,20,20,19,20,26,21,46,46,46,20
26,26,26,28,30,23,27,47,47,47,27
24,24,24,24,23,27,24,46,46,46,24
28,28,28,28,29,24,28,46,46,46,28
25,25,25,21,21,22,25,46,46,46,26
23,23,23,23,26,29,23,46,46,46,24
31,31,31,30,31,26,31,46,46,46,31
25,25,25,26,27,26,26,46,46,46,26
22,22,22,22,22,24,22,47,47,47,22
19,19,19,20,20,25,19,46,46,46,19
24,24,24,23,24,26,24,46,46,46,24
20,20,20,19,19,20,20,46,46,46,20
25,25,25,24,24,27,25,46,46,46,25
22,22,22,23,28,18,22,46,46,46,22
28,28,28,25,20,22,26,47,47,47,28
23,23,23,21,24,28,23,46,46,46,24
26,26,26,25,25,25,26,46,46,46,27
25,25,25,26,27,29,25,46,46,46,25
