ucb,ts,ovr,egr,egr2,agr,agr2,efr,ac,aac,sft
25,25,25,22,22,25,27,22,17,17,24
25,25,25,25,25,21,24,29,13,13,22
25,25,25,24,24,29,28,32,8,8,25
22,22,22,17,17,25,26,23,12,12,23
26,26,26,26,26,26,26,23,12,12,26
27,27,27,26,26,29,28,25,13,13,28
31,31,31,30,30,30,30,25,10,10,28
22,22,22,23,23,26,27,21,5,5,27
26,26,26,30,30,23,29,24,4,4,24
23,23,23,25,25,23,23,29,3,3,22
26,26,26,26,26,26,28,20,0,0,27
22,22,22,23,22,24,25,27,1,1,26
29,29,29,31,31,24,27,21,0,0,29
21,21,21,20,20,18,21,22,2,2,19
27,27,27,28,27,24,29,24,1,1,22
22,22,22,24,24,24,30,25,1,1,27
31,31,31,29,29,31,32,17,0,0,28
24,24,24,22,22,27,26,22,0,0,25
24,24,24,23,22,22,25,20,0,0,22
25,25,25,28,29,28,24,21,0,0,24
26,26,26,28,27,24,24,26,0,0,26
22,22,22,23,23,22,22,24,0,0,24
18,18,18,17,19,21,15,23,0,0,17
22,22,22,22,22,24,18,29,0,0,22
24,24,24,27,27,21,24,24,0,0,22
26,26,26,23,24,21,25,25,0,0,25
31,31,31,33,34,23,29,25,0,0,35
26,26,26,26,26,26,27,25,0,0,24
25,25,25,28,28,26,25,23,0,0,25
28,28,28,27,26,32,28,27,0,0,29
25,25,25,24,22,26,24,50,0,0,25
27,27,27,24,25,23,30,50,0,0,24
25,25,25,27,27,23,22,50,0,0,24
26,26,26,24,25,32,25,50,0,0,24
25,25,25,25,26,29,24,50,0,0,23
33,33,33,34,33,25,33,50,0,0,36
26,26,26,28,27,25,25,50,0,0,27
23,23,23,26,25,25,23,50,0,0,26
24,24,24,23,24,26,27,50,0,0,21
27,27,27,24,24,20,28,50,0,0,26
29,29,29,28,28,22,29,50,0,0,30
28,28,28,28,28,22,26,50,0,0,26
29,29,29,26,26,27,27,50,0,0,27
24,24,24,24,23,26,25,50,0,0,26
23,23,23,19,19,19,23,50,0,0,26
22,22,22,24,22,17,26,50,0,0,22
30,30,30,30,30,29,31,50,0,0,28
23,23,23,23,24,24,22,50,0,0,21
22,22,22,22,24,29,22,50,0,0,21
21,21,21,23,23,26,23,50,0,0,21
25,25,25,27,28,25,26,50,0,0,23
28,28,28,27,25,28,26,50,0,0,27
17,17,17,18,17,32,18,50,0,0,17
21,21,21,25,26,22,22,50,0,0,21
26,26,26,28,27,28,24,50,0,0,29
26,26,26,24,25,28,23,50,0,0,25
22,22,22,26,26,19,20,50,0,0,20
25,25,25,25,24,30,25,50,0,0,26
21,21,21,22,24,23,22,50,0,0,25
21,21,21,25,25,27,25,50,0,0,21
29,29,29,28,28,22,29,50,0,0,30
27,27,27,26,29,25,26,50,0,0,26
26,26,26,27,29,26,27,50,0,0,24
25,25,25,27,24,25,25,50,0,0,22
27,27,27,25,24,26,28,50,0,0,27
30,30,30,33,34,27,25,50,0,0,29
25,25,25,24,24,25,25,50,0,0,26
22,22,22,21,23,22,19,50,0,0,21
26,26,26,26,28,29,26,50,0,0,29
