ucb,ts,ovr,egr,egr2,agr,agr2,efr,ac,aac,sft
25,25,25,26,26,25,27,24,27,27,26
32,32,32,32,32,26,27,28,18,18,31
27,27,27,26,26,25,24,28,16,16,29
25,25,25,28,28,26,25,26,17,17,32
24,24,24,28,28,26,24,23,16,16,22
25,25,25,30,30,21,24,25,17,17,28
28,28,28,27,27,27,27,26,17,17,25
25,25,25,24,24,23,26,22,16,16,24
24,24,24,32,28,19,27,24,14,14,22
23,23,23,23,23,23,25,31,13,13,26
27,27,27,29,29,27,29,23,15,15,28
21,21,21,20,19,25,30,26,14,14,25
21,21,21,21,21,24,23,25,14,14,23
24,24,24,23,21,23,22,25,13,13,20
28,28,28,27,26,25,28,23,14,14,27
30,30,30,30,30,26,28,27,15,15,27
28,28,28,26,26,28,29,20,13,13,29
26,26,26,24,24,25,26,30,14,14,22
19,19,19,18,19,19,18,23,13,13,19
28,28,28,29,32,27,25,20,15,15,25
24,24,24,26,27,24,22,28,14,14,26
22,22,22,23,23,24,22,28,14,14,26
27,27,27,28,26,28,24,24,13,13,26
24,24,24,26,26,26,22,23,14,14,30
25,25,25,26,26,20,23,27,15,15,25
33,33,33,30,29,28,30,28,13,13,34
27,27,27,29,30,19,27,29,14,14,27
29,29,29,31,29,31,28,24,13,13,25
26,26,26,27,31,29,24,20,15,15,26
24,24,24,23,24,28,24,23,14,14,27
23,23,23,22,20,24,26,36,14,14,25
28,28,28,33,32,20,25,37,13,13,27
25,25,25,27,27,23,26,36,14,14,26
29,29,29,27,28,23,26,35,15,15,27
26,26,26,24,23,26,25,37,13,13,24
31,31,31,32,31,27,29,36,14,14,24
29,29,29,27,28,22,28,37,13,13,30
26,26,26,25,26,24,26,35,15,15,23
28,28,28,27,28,24,27,36,14,14,27
29,29,29,28,24,20,30,36,14,14,28
30,30,30,29,29,19,30,37,13,13,29
26,26,26,28,28,24,24,36,14,14,28
28,28,28,27,27,26,26,35,15,15,28
25,25,25,25,26,27,26,37,13,13,25
21,21,21,21,21,15,23,36,14,14,20
27,27,27,29,25,18,29,37,13,13,27
27,27,27,27,27,28,26,35,15,15,29
25,25,25,25,26,20,22,36,14,14,25
24,24,24,24,26,29,26,36,14,14,23
24,24,24,26,26,25,22,37,13,13,22
31,31,31,27,28,25,28,36,14,14,31
25,25,25,24,22,23,23,35,15,15,24
22,22,22,25,22,27,23,37,13,13,20
19,19,19,19,20,26,22,36,14,14,21
23,23,23,23,22,23,21,37,13,13,26
31,31,31,31,30,27,30,35,15,15,30
26,26,26,22,22,23,26,36,14,14,22
31,31,31,31,32,30,31,36,14,14,32
24,24,24,25,27,26,25,37,13,13,26
23,23,23,25,27,25,23,36,14,14,23
18,18,18,19,19,25,18,35,15,15,21
36,36,36,37,36,28,33,37,13,13,35
22,22,22,21,25,26,23,36,14,14,22
22,22,22,20,21,20,20,37,13,13,22
28,28,28,30,27,23,25,35,15,15,28
28,28,28,29,30,23,27,36,14,14,27
19,19,19,22,22,19,19,36,14,14,20
25,25,25,26,28,19,24,37,13,13,22
24,24,24,24,24,27,24,36,14,14,27
28,28,28,26,25,26,31,35,15,15,26
24,24,24,24,25,22,23,37,13,13,25
26,26,26,26,27,29,26,36,14,14,25
26,26,26,22,22,29,24,37,13,13,25
24,24,24,28,29,23,22,35,15,15,23
29,29,29,30,27,26,30,36,14,14,28
22,22,22,24,23,26,23,36,14,14,22
26,26,26,26,24,20,24,37,13,13,26
26,26,26,26,27,27,24,36,14,14,27
22,22,22,22,23,28,24,35,15,15,20
25,25,25,23,24,23,25,37,13,13,27
25,25,25,26,26,24,26,36,14,14,26
23,23,23,25,26,29,23,37,13,13,19
26,26,26,24,25,20,23,35,15,15,26
28,28,28,29,28,27,27,36,14,14,28
20,20,20,19,19,22,22,36,14,14,23
26,26,26,26,28,22,27,22,13,13,24
23,23,23,21,29,27,22,22,14,14,22
28,28,28,23,24,18,24,22,15,15,24
19,19,19,19,17,24,21,22,13,13,19
32,32,32,31,32,23,30,23,14,14,32
26,26,26,25,25,26,28,22,13,13,28
22,22,22,24,23,30,21,22,15,15,23
25,25,25,24,27,24,26,14,14,14,24
28,28,28,27,29,31,28,23,14,14,28
31,31,31,30,28,24,31,22,13,13,30
23,23,23,25,23,23,23,22,14,14,23
22,22,22,21,22,24,19,22,15,15,21
27,27,27,28,25,27,27,21,13,13,27
30,30,30,27,26,27,31,14,14,14,28
25,25,25,24,24,28,18,19,13,13,25
26,26,26,25,23,25,26,20,15,15,24
28,28,28,29,28,29,29,19,14,14,27
24,24,24,24,26,25,25,19,14,14,24
23,23,23,24,24,25,26,16,13,13,23
26,26,26,28,28,26,25,16,14,14,26
36,36,36,35,34,34,34,18,15,15,36
26,26,26,25,23,25,26,13,13,13,26
26,26,26,25,27,25,24,14,14,14,25
26,26,26,27,27,26,26,13,13,13,25
23,23,23,26,29,21,22,15,15,15,23
31,31,31,29,27,22,33,14,14,14,32
24,24,24,25,24,26,23,14,14,14,25
23,23,23,24,25,19,23,13,13,13,22
25,25,25,24,25,27,25,14,14,14,26
28,28,28,27,28,31,29,15,15,15,28
19,19,19,19,20,29,21,13,13,13,23
30,30,30,29,25,31,30,14,14,14,31
24,24,24,25,25,20,24,13,13,13,24
29,29,29,29,29,24,29,15,15,15,30
25,25,25,26,26,18,25,14,14,14,25
24,24,24,25,23,27,25,14,14,14,23
22,22,22,20,20,27,23,13,13,13,22
24,24,24,22,21,26,26,14,14,14,24
18,18,18,17,17,28,19,15,15,15,19
22,22,22,24,24,27,23,13,13,13,22
24,24,24,23,22,23,26,14,14,14,26
23,23,23,21,21,30,24,14,14,14,21
24,24,24,24,24,22,23,15,15,15,23
24,24,24,28,27,29,23,14,14,14,24
20,20,20,18,21,31,23,15,15,15,20
21,21,21,20,20,19,18,15,15,15,20
25,25,25,27,23,20,25,15,15,15,25
26,26,26,26,25,29,27,15,15,15,27
22,22,22,22,22,38,22,15,15,15,22
32,32,32,33,32,18,31,15,15,15,33
23,23,23,23,22,19,23,15,15,15,23
28,28,28,29,29,24,29,14,14,14,28
29,29,29,29,28,28,29,15,15,15,30
25,25,25,24,24,22,25,14,14,14,25
25,25,25,25,25,24,26,15,15,15,25
25,25,25,27,24,21,25,15,15,15,26
28,28,28,27,27,30,29,14,14,14,28
27,27,27,27,24,24,26,15,15,15,26
31,31,31,28,28,29,31,14,14,14,31
22,22,22,23,24,22,20,15,15,15,23
28,28,28,29,27,28,28,14,14,14,28
22,22,22,23,25,30,23,15,15,15,22
29,29,29,32,32,19,28,15,15,15,29
22,22,22,23,24,22,21,15,15,15,22
23,23,23,25,24,29,22,15,15,15,23
23,23,23,25,28,26,22,15,15,15,24
27,27,27,26,26,25,29,15,15,15,27
23,23,23,24,22,25,22,15,15,15,23
23,23,23,23,27,26,23,14,14,14,22
15,15,15,18,21,15,16,15,15,15,17
23,23,23,24,25,27,21,14,14,14,23
24,24,24,24,26,21,22,15,15,15,24
30,30,30,30,29,29,29,15,15,15,30
28,28,28,29,30,28,28,14,14,14,28
24,24,24,24,23,21,26,15,15,15,23
22,22,22,23,20,27,22,14,14,14,22
26,26,26,25,26,26,25,15,15,15,26
21,21,21,19,20,25,23,14,14,14,21
25,25,25,24,23,27,25,15,15,15,25
30,30,30,30,31,21,31,15,15,15,30
22,22,22,19,21,23,23,15,15,15,22
26,26,26,25,24,27,26,15,15,15,25
26,26,26,27,29,20,27,15,15,15,26
31,31,31,32,30,32,30,15,15,15,32
27,27,27,27,25,25,27,15,15,15,27
21,21,21,19,23,31,21,14,14,14,20
20,20,20,21,23,22,19,15,15,15,20
22,22,22,24,24,23,22,14,14,14,22
28,28,28,28,30,23,30,15,15,15,28
24,24,24,23,23,27,24,15,15,15,23
33,33,33,34,38,21,33,14,14,14,33
25,25,25,25,26,26,23,15,15,15,25
26,26,26,27,25,26,26,14,14,14,26
26,26,26,25,28,28,27,15,15,15,26
26,26,26,25,28,22,26,14,14,14,25
23,23,23,23,23,25,24,15,15,15,23
23,23,23,21,20,22,23,15,15,15,23
22,22,22,22,22,27,23,15,15,15,22
21,21,21,22,24,22,20,15,15,15,21
23,23,23,23,22,22,24,15,15,15,23
24,24,24,27,25,22,25,15,15,15,24
17,17,17,17,16,25,19,15,15,15,17
25,25,25,26,25,27,26,15,15,15,25
21,21,21,19,17,30,20,16,16,16,20
29,29,29,29,26,28,29,17,17,17,29
25,25,25,25,22,21,25,15,15,15,25
21,21,21,25,23,20,21,16,16,16,22
29,29,29,29,28,29,29,16,16,16,28
26,26,26,25,28,29,26,15,15,15,26
22,22,22,23,26,27,21,15,15,15,23
24,24,24,24,24,26,24,15,15,15,24
31,31,31,30,26,29,31,16,16,16,31
17,17,17,14,21,23,17,17,17,17,17
29,29,29,28,28,31,29,15,15,15,29
23,23,23,26,26,19,23,16,16,16,23
18,18,18,17,22,24,18,16,16,16,18
28,28,28,29,34,24,28,15,15,15,28
30,30,30,30,29,27,30,15,15,15,31
21,21,21,22,20,22,21,15,15,15,20
23,23,23,22,23,19,23,16,16,16,23
23,23,23,22,24,24,24,17,17,17,23
24,24,24,24,26,24,23,15,15,15,24
25,25,25,25,25,26,26,16,16,16,25
29,29,29,29,28,24,29,16,16,16,27
30,30,30,27,29,30,30,16,16,16,30
32,32,32,32,29,27,32,18,18,18,32
24,24,24,24,26,26,25,16,16,16,24
29,29,29,29,28,26,30,16,16,16,28
26,26,26,24,23,19,26,18,18,18,26
21,21,21,21,20,27,21,16,16,16,21
24,24,24,25,24,28,25,16,16,16,24
24,24,24,25,25,31,24,18,18,18,24
26,26,26,25,26,25,25,16,16,16,26
22,22,22,21,19,27,22,16,16,16,22
23,23,23,23,24,24,23,18,18,18,23
23,23,23,24,22,26,23,16,16,16,23
27,27,27,27,29,26,27,16,16,16,26
24,24,24,21,25,24,25,19,19,19,24
27,27,27,27,26,27,27,16,16,16,27
31,31,31,30,28,28,32,19,19,19,32
30,30,30,29,29,26,30,18,18,18,29
26,26,26,27,27,22,26,19,19,19,25
24,24,24,22,22,29,24,20,20,20,24
20,20,20,20,21,21,20,23,23,23,20
30,30,30,30,27,25,30,22,22,22,30
23,23,23,23,26,24,23,23,23,23,23
27,27,27,25,26,25,28,25,25,25,27
26,26,26,25,27,26,26,25,25,25,26
18,18,18,19,18,24,18,25,25,25,18
23,23,23,23,22,22,23,25,25,25,23
32,32,32,33,33,29,32,25,25,25,31
21,21,21,22,24,24,21,25,25,25,21
30,30,30,29,32,31,32,27,27,27,30
24,24,24,22,27,24,24,28,28,28,24
32,32,32,32,31,19,32,32,32,32,32
20,20,20,20,21,23,20,31,31,31,20
29,29,29,29,29,20,29,32,32,32,29
28,28,28,27,29,29,29,30,30,30,28
18,18,18,17,22,24,18,32,32,32,18
33,33,33,30,31,23,33,31,31,31,33
26,26,26,25,28,26,26,32,32,32,26
24,24,24,26,27,25,24,30,30,30,25
30,30,30,29,26,23,30,32,32,32,30
25,25,25,24,29,29,25,31,31,31,25
24,24,24,24,24,26,25,35,35,35,24
22,22,22,23,20,22,22,35,35,35,24
23,23,23,24,25,21,23,36,36,36,23
25,25,25,26,26,22,26,36,36,36,25
20,20,20,18,18,27,20,39,39,39,20
24,24,24,23,21,23,24,42,42,42,24
24,24,24,23,25,24,24,42,42,42,24
29,29,29,29,28,21,29,41,41,41,30
23,23,23,25,26,28,23,42,42,42,23
24,24,24,25,25,25,24,42,42,42,24
29,29,29,27,30,26,29,41,41,41,29
27,27,27,27,30,28,27,42,42,42,27
26,26,26,27,28,25,25,42,42,42,26
33,33,33,33,34,28,33,41,41,41,33
25,25,25,26,29,26,25,42,42,42,25
22,22,22,23,23,27,22,42,42,42,22
22,22,22,24,23,22,21,41,41,41,22
26,26,26,29,26,25,26,45,45,45,26
28,28,28,28,29,21,28,50,50,50,28
29,29,29,29,29,25,28,50,50,50,29
18,18,18,18,21,25,18,50,50,50,18
29,29,29,28,27,24,29,50,50,50,29
28,28,28,28,31,31,29,50,50,50,28
30,30,30,29,29,30,30,50,50,50,30
19,19,19,19,18,20,19,50,50,50,20
27,27,27,25,28,26,27,50,50,50,27
25,25,25,26,25,30,25,50,50,50,25
13,13,13,12,13,12,13,24,24,24,13
