ucb,ts,ovr,egr,egr2,agr,agr2,efr,ac,aac,sft
22,22,22,23,23,24,24,27,45,50,30
24,24,24,22,22,26,25,24,45,50,23
19,19,19,22,22,19,20,22,49,50,21
24,24,24,25,25,23,22,23,45,50,21
24,24,24,24,24,28,28,29,49,50,26
30,30,30,29,29,26,31,22,47,50,27
17,17,17,16,16,20,20,21,47,50,22
27,27,27,24,24,25,24,24,45,50,22
22,22,22,18,18,29,23,24,44,50,24
28,28,28,26,26,30,26,20,49,50,27
24,24,24,24,24,24,22,30,47,50,23
27,27,27,26,27,25,24,24,47,50,25
21,21,21,19,19,26,23,29,48,50,21
29,29,29,30,30,30,29,28,44,50,31
24,24,24,23,24,27,22,27,47,50,29
27,27,27,25,25,27,19,24,47,50,24
19,19,19,21,21,19,18,33,48,50,22
26,26,26,28,28,23,24,28,48,50,26
26,26,26,27,28,28,25,30,44,50,28
25,25,25,22,21,22,26,29,48,50,26
24,24,24,22,23,26,26,24,49,49,24
28,28,28,27,27,28,28,26,49,50,26
32,32,32,33,31,29,35,27,49,50,33
28,28,28,28,28,26,32,21,48,50,28
26,26,26,23,23,29,26,26,46,50,28
24,24,24,27,26,29,25,25,47,50,25
19,19,19,17,16,27,21,25,49,50,15
24,24,24,24,24,24,23,25,48,50,26
25,25,25,22,22,24,25,27,48,50,25
22,22,22,23,24,18,22,23,45,50,21
25,25,25,26,28,24,26,50,50,48,25
23,23,23,26,25,27,20,50,46,49,26
25,25,25,23,23,27,28,50,48,49,26
24,24,24,26,25,18,25,50,48,49,26
25,25,25,25,24,21,26,50,48,48,27
17,17,17,16,17,25,17,50,50,49,14
24,24,24,22,23,25,25,50,50,49,23
27,27,27,24,25,25,27,50,47,50,25
26,26,26,27,26,24,23,50,50,50,29
23,23,23,26,26,30,22,50,49,50,24
21,21,21,22,22,28,21,50,49,50,20
22,22,22,22,22,28,24,50,49,49,24
21,21,21,24,24,23,23,50,48,49,23
26,26,26,26,27,24,25,50,49,49,24
27,27,27,31,31,31,27,50,48,47,24
28,28,28,26,28,33,24,50,49,50,28
20,20,20,20,20,21,19,50,47,50,22
27,27,27,27,26,26,28,50,49,50,29
28,28,28,28,26,21,28,50,50,50,29
29,29,29,27,27,24,27,50,48,50,29
25,25,25,23,22,25,24,50,49,44,27
22,22,22,23,25,22,24,50,50,48,23
33,33,33,32,33,18,32,50,47,49,33
29,29,29,25,24,28,28,50,48,49,29
