ucb,ts,ovr,egr,egr2,agr,agr2,efr,ac,aac,sft
25,25,25,22,22,25,21,28,33,33,26
22,22,22,22,22,24,27,26,30,30,21
26,26,26,25,25,28,31,29,29,29,24
24,24,24,25,25,27,28,21,26,26,27
32,32,32,28,28,26,24,31,22,22,24
25,25,25,26,26,27,30,21,23,23,32
31,31,31,30,30,30,30,25,32,32,26
23,23,23,24,24,23,24,24,34,34,24
24,24,24,26,26,19,27,30,34,34,22
21,21,21,23,23,25,21,25,35,35,22
24,24,24,26,26,26,28,28,16,16,27
25,25,25,26,27,25,24,24,24,24,23
26,26,26,28,28,27,24,26,25,25,24
29,29,29,28,30,24,29,24,22,22,27
22,22,22,23,22,23,22,23,18,18,19
25,25,25,25,25,25,25,26,20,20,24
29,29,29,27,27,29,28,21,16,16,26
33,33,33,31,31,30,29,23,15,15,31
24,24,24,21,24,24,27,22,14,14,26
27,27,27,28,29,30,30,17,12,12,28
25,25,25,25,26,23,21,29,13,13,29
25,25,25,28,28,21,25,23,13,13,29
21,21,21,22,18,24,20,24,13,13,24
26,26,26,28,28,26,22,27,12,12,28
19,19,19,24,24,20,21,27,13,13,19
26,26,26,25,24,19,27,27,12,12,28
27,27,27,29,30,21,25,25,12,12,27
30,30,30,28,26,28,27,25,12,12,24
22,22,22,25,27,25,22,26,13,13,24
23,23,23,22,23,29,25,26,13,13,24
24,24,24,23,21,27,25,13,13,13,24
29,29,29,28,29,25,30,38,12,12,26
22,22,22,26,26,18,21,37,13,13,21
30,30,30,28,25,28,27,38,12,12,28
21,21,21,19,20,25,22,12,12,12,21
29,29,29,30,29,25,31,12,12,12,34
29,29,29,29,28,24,28,13,13,13,32
24,24,24,25,24,24,22,13,13,13,21
31,31,31,28,29,21,30,13,13,13,28
25,25,25,22,24,16,28,12,12,12,22
32,32,32,33,33,27,32,13,13,13,31
24,24,24,26,26,18,24,12,12,12,24
27,27,27,28,28,25,25,12,12,12,27
22,22,22,22,21,22,23,12,12,12,24
18,18,18,14,14,24,20,13,13,13,19
29,29,29,27,29,24,29,13,13,13,29
21,21,21,21,21,26,22,13,13,13,23
23,23,23,23,24,24,20,12,12,12,21
25,25,25,25,23,24,25,13,13,13,24
17,17,17,21,21,24,17,12,12,12,17
27,27,27,27,26,21,24,12,12,12,23
24,24,24,23,21,22,22,12,12,12,23
22,22,22,23,24,37,23,13,13,13,24
26,26,26,26,25,27,25,13,13,13,27
21,21,21,23,22,21,21,13,13,13,22
32,32,32,32,31,30,31,12,12,12,31
21,21,21,21,21,16,21,13,13,13,19
27,27,27,27,28,30,27,12,12,12,28
19,19,19,22,22,21,18,12,12,12,17
23,23,23,23,23,25,21,12,12,12,27
26,26,26,25,25,25,28,13,13,13,27
28,28,28,29,28,26,27,13,13,13,27
23,23,23,24,24,27,22,13,13,13,21
21,21,21,19,18,25,25,12,12,12,24
24,24,24,24,23,25,23,13,13,13,24
34,34,34,35,34,27,29,12,12,12,35
27,27,27,26,24,25,25,12,12,12,26
26,26,26,25,27,26,23,12,12,12,23
25,25,25,25,25,30,25,13,13,13,28
26,26,26,30,29,22,27,13,13,13,26
22,22,22,24,23,20,21,13,13,13,23
22,22,22,22,21,35,22,12,12,12,23
26,26,26,24,24,19,24,13,13,13,25
27,27,27,29,30,30,25,12,12,12,28
25,25,25,28,25,28,24,12,12,12,28
24,24,24,26,25,24,25,12,12,12,22
20,20,20,22,22,16,22,13,13,13,24
29,29,29,27,26,22,29,13,13,13,28
24,24,24,26,25,32,24,13,13,13,26
18,18,18,16,19,18,20,12,12,12,20
22,22,22,21,23,29,23,13,13,13,25
16,16,16,20,21,24,16,12,12,12,14
23,23,23,21,22,19,22,12,12,12,23
28,28,28,27,28,27,27,12,12,12,28
21,21,21,22,22,23,23,13,13,13,22
26,26,26,26,28,28,25,13,13,13,24
32,32,32,30,30,22,31,13,13,13,29
23,23,23,24,23,23,19,12,12,12,23
27,27,27,27,23,26,29,13,13,13,29
26,26,26,25,26,33,28,12,12,12,26
27,27,27,28,28,27,27,12,12,12,27
19,19,19,19,20,29,20,12,12,12,18
24,24,24,23,26,29,25,13,13,13,23
33,33,33,32,32,24,33,13,13,13,33
25,25,25,28,28,22,27,13,13,13,24
27,27,27,31,25,23,27,12,12,12,27
20,20,20,21,20,26,21,13,13,13,21
28,28,28,29,30,26,28,12,12,12,28
24,24,24,23,22,23,23,12,12,12,22
28,28,28,27,25,25,25,12,12,12,28
26,26,26,25,25,29,24,13,13,13,24
25,25,25,26,25,28,26,13,13,13,24
25,25,25,25,27,26,26,13,13,13,25
18,18,18,19,19,20,19,12,12,12,18
21,21,21,25,25,21,20,13,13,13,21
27,27,27,26,25,27,27,12,12,12,27
29,29,29,30,28,26,29,12,12,12,29
24,24,24,27,25,23,22,12,12,12,25
28,28,28,29,29,28,28,13,13,13,27
27,27,27,26,29,29,28,13,13,13,29
26,26,26,26,26,21,24,13,13,13,27
24,24,24,25,22,28,25,12,12,12,25
23,23,23,22,23,17,23,13,13,13,22
19,19,19,18,17,21,19,12,12,12,17
25,25,25,24,25,30,26,12,12,12,25
22,22,22,24,21,26,22,12,12,12,22
27,27,27,28,26,28,27,13,13,13,28
22,22,22,21,21,22,22,13,13,13,22
25,25,25,27,23,18,25,13,13,13,24
27,27,27,26,28,18,27,12,12,12,27
21,21,21,22,22,28,22,13,13,13,22
15,15,15,15,15,22,16,12,12,12,15
26,26,26,24,25,24,28,14,14,14,24
25,25,25,26,24,29,26,14,14,14,24
28,28,28,26,30,29,27,11,11,11,28
22,22,22,19,18,23,24,10,10,10,22
23,23,23,23,25,26,26,10,10,10,21
25,25,25,25,27,21,26,10,10,10,28
28,28,28,28,29,25,27,10,10,10,28
25,25,25,27,28,26,24,10,10,10,25
24,24,24,25,21,26,23,10,10,10,23
25,25,25,25,23,20,27,11,11,11,25
26,26,26,26,25,19,23,13,13,13,27
29,29,29,27,27,25,29,14,14,14,29
31,31,31,30,31,27,30,10,10,10,32
