ucb,ts,ovr,egr,egr2,agr,agr2,efr,ac,aac,sft
22,22,22,23,23,24,24,27,45,50,29
23,23,23,21,21,23,24,23,41,45,24
19,19,19,20,20,19,18,24,48,48,19
23,23,23,24,24,24,23,24,47,47,20
24,24,24,24,24,26,26,27,48,48,26
30,30,30,29,29,26,29,24,48,48,27
17,17,17,16,16,20,20,21,50,50,22
27,27,27,24,24,25,24,24,50,50,22
22,22,22,18,18,29,23,24,50,50,24
28,28,28,26,26,30,26,20,50,50,27
23,23,23,25,25,23,21,31,49,49,22
26,26,26,25,26,24,23,25,49,49,25
22,22,22,20,20,27,24,28,49,49,22
29,29,29,30,30,30,29,28,50,50,31
24,24,24,23,24,27,22,27,50,50,29
27,27,27,25,25,27,19,24,50,50,24
19,19,19,21,21,19,18,33,50,50,22
26,26,26,28,28,23,24,28,50,50,26
26,26,26,27,28,28,25,30,50,50,28
25,25,25,22,21,22,26,29,50,50,26
24,24,24,22,23,26,26,24,50,50,24
28,28,28,27,27,28,28,26,50,50,26
32,32,32,33,31,29,35,27,50,50,33
28,28,28,28,28,26,32,21,50,50,28
26,26,26,23,23,29,26,26,50,50,28
24,24,24,27,26,29,25,25,50,50,25
19,19,19,17,16,27,21,25,50,50,15
24,24,24,24,24,24,23,25,50,50,26
25,25,25,22,22,24,25,27,50,50,25
22,22,22,23,24,18,22,23,50,50,21
25,25,25,26,28,24,26,50,50,50,25
23,23,23,26,25,27,20,50,50,50,26
25,25,25,23,23,27,28,50,50,50,26
24,24,24,26,25,18,25,50,50,50,26
25,25,25,25,24,21,26,50,50,50,27
17,17,17,16,17,25,17,50,50,50,14
24,24,24,22,23,25,25,50,50,50,23
27,27,27,24,25,25,27,50,50,50,24
26,26,26,27,26,24,23,50,50,50,30
23,23,23,26,26,30,22,50,50,50,24
21,21,21,22,22,28,21,50,50,50,20
22,22,22,22,22,28,24,50,50,50,24
21,21,21,24,24,23,23,50,50,50,23
26,26,26,26,27,24,25,50,50,50,24
27,27,27,31,31,31,27,50,50,50,24
28,28,28,26,28,33,24,50,50,50,28
20,20,20,20,20,21,19,50,50,50,22
27,27,27,27,26,26,28,50,50,50,29
28,28,28,28,26,21,28,50,50,50,29
29,29,29,27,27,24,27,50,50,50,29
25,25,25,23,22,25,24,50,50,50,27
22,22,22,23,25,22,24,50,50,50,23
33,33,33,32,33,18,32,50,50,50,33
29,29,29,25,24,28,28,50,50,50,29
24,24,24,22,23,22,26,50,50,50,21
24,24,24,26,25,22,27,50,50,50,25
28,28,28,24,24,31,30,50,50,50,30
25,25,25,25,26,20,25,50,50,50,24
29,29,29,28,26,27,28,50,50,50,25
29,29,29,25,25,23,25,50,50,50,29
21,21,21,22,22,28,21,50,50,50,20
23,23,23,24,21,25,24,50,50,50,24
24,24,24,23,21,24,23,50,50,50,26
25,25,25,23,26,25,25,50,50,50,28
23,23,23,25,26,24,22,50,50,50,23
20,20,20,17,16,23,25,50,50,50,21
25,25,25,26,26,25,25,50,50,50,27
28,28,28,29,27,28,31,50,50,50,29
24,24,24,24,22,21,24,50,50,50,21
25,25,25,23,26,23,22,50,50,50,25
29,29,29,27,28,31,28,50,50,50,28
36,36,36,36,35,21,36,50,50,50,35
27,27,27,25,23,26,25,50,50,50,28
19,19,19,19,18,24,21,50,50,50,16
17,17,17,14,17,24,16,50,50,50,16
32,32,32,26,27,30,31,50,50,50,35
29,29,29,31,29,33,25,50,50,50,29
20,20,20,18,19,23,20,50,50,50,19
25,25,25,27,26,21,23,50,50,50,27
26,26,26,28,31,28,28,50,50,50,24
21,21,21,20,22,24,20,50,50,50,21
28,28,28,24,23,20,28,50,50,50,32
25,25,25,27,26,25,28,50,50,50,25
16,16,16,15,16,25,15,50,50,50,16
34,34,34,31,31,34,34,50,50,50,31
27,27,27,25,25,27,26,50,50,50,29
25,25,25,27,23,25,24,50,50,50,27
25,25,25,30,31,27,29,50,50,50,28
28,28,28,28,32,27,26,50,50,50,26
22,22,22,25,24,23,24,50,50,50,22
25,25,25,24,24,27,27,50,50,50,23
25,25,25,23,22,21,26,50,50,50,26
23,23,23,22,21,22,22,50,50,50,26
26,26,26,25,23,23,24,50,50,50,26
24,24,24,23,23,25,22,50,50,50,25
23,23,23,19,21,21,21,50,50,50,23
33,33,33,34,33,31,36,50,50,50,34
28,28,28,25,28,30,28,50,50,50,28
22,22,22,23,24,27,23,50,50,50,22
26,26,26,27,25,27,25,50,50,50,26
25,25,25,26,26,28,29,50,50,50,27
18,18,18,17,18,21,17,50,50,50,19
