ucb,ts,ovr,egr,egr2,agr,agr2,efr,ac,aac,sft
23,23,23,24,24,29,23,22,22,22,23
23,23,23,22,23,23,21,22,22,22,22
30,30,30,27,29,26,30,22,22,22,30
22,22,22,25,21,26,23,21,21,21,22
27,27,27,26,26,21,26,21,21,21,27
26,26,26,25,24,26,27,21,21,21,26
27,27,27,27,26,31,26,21,21,21,27
24,24,24,26,27,23,23,22,22,22,23
25,25,25,26,28,27,25,23,23,23,25
20,20,20,23,23,22,21,24,24,24,20
28,28,28,28,30,27,28,25,25,25,27
28,28,28,27,22,28,29,26,26,26,28
21,21,21,22,23,29,21,24,24,24,21
24,24,24,26,26,23,22,25,25,25,24
27,27,27,27,24,30,26,26,26,26,27
30,30,30,29,26,32,30,24,24,24,30
20,20,20,20,23,21,24,25,25,25,19
26,26,26,23,24,25,26,26,26,26,27
19,19,19,18,21,29,18,24,24,24,19
22,22,22,22,23,26,22,25,25,25,22
22,22,22,21,26,22,22,26,26,26,22
24,24,24,24,29,29,23,27,27,27,24
27,27,27,26,24,26,26,30,30,30,27
17,17,17,18,23,22,17,26,26,26,18
25,25,25,28,28,23,24,20,20,20,25
24,24,24,25,25,31,23,20,20,20,25
28,28,28,28,24,26,28,20,20,20,28
27,27,27,25,29,33,27,20,20,20,26
22,22,22,23,23,20,21,17,17,17,22
26,26,26,24,24,27,26,10,10,10,26
26,26,26,26,24,23,24,13,13,13,26
1,1,1,1,1,1,1,0,0,0,1
