ucb,ts,ovr,egr,egr2,agr,agr2,efr,ac,aac,sft
21,21,21,20,20,25,25,24,31,31,20
29,29,29,31,31,27,30,23,31,31,30
28,28,28,27,27,26,25,23,27,27,28
27,27,27,22,22,24,25,24,27,27,24
22,22,22,20,20,22,18,21,24,24,20
23,23,23,22,22,25,26,21,27,27,24
26,26,26,25,25,23,23,22,21,21,25
20,20,20,23,23,22,27,23,21,21,19
24,24,24,22,26,23,29,28,22,22,22
29,29,29,25,25,23,27,19,21,21,24
22,22,22,20,20,18,22,26,22,22,23
16,16,16,17,20,24,23,31,21,21,20
27,27,27,27,27,26,27,23,22,22,29
26,26,26,27,29,23,28,29,21,21,24
21,21,21,20,19,24,21,20,21,21,22
19,19,19,21,21,19,17,26,22,22,16
24,24,24,24,24,26,29,22,21,21,25
26,26,26,24,24,23,28,24,22,22,22
27,27,27,28,25,23,26,21,23,23,25
24,24,24,25,22,23,25,24,25,25,27
31,31,31,29,28,25,29,25,25,25,29
27,27,27,24,24,25,25,23,25,25,21
23,23,23,20,22,24,26,22,25,25,18
23,23,23,21,21,23,23,28,25,25,18
23,23,23,26,26,28,23,23,25,25,23
17,17,17,16,17,24,18,18,25,25,16
28,28,28,26,25,24,24,20,25,25,30
23,23,23,25,21,17,28,24,25,25,21
24,24,24,23,19,19,24,26,25,25,26
29,29,29,30,29,21,29,32,25,25,26
26,26,26,27,29,29,21,25,25,25,24
22,22,22,19,18,30,25,25,25,25,23
22,22,22,18,18,24,19,25,25,25,21
25,25,25,25,24,33,28,25,25,25,27
28,28,28,26,29,24,29,25,25,25,28
28,28,28,27,28,22,26,25,25,25,33
19,19,19,17,18,22,20,25,25,25,18
22,22,22,25,24,26,22,25,25,25,24
23,23,23,22,23,29,30,25,25,25,20
27,27,27,26,24,20,26,30,30,30,28
27,27,27,30,30,24,27,30,30,30,28
28,28,28,28,28,32,28,30,30,30,32
27,27,27,28,28,25,21,30,30,30,25
26,26,26,26,25,24,25,30,30,30,25
23,23,23,23,23,23,23,30,30,30,24
30,30,30,28,26,31,28,30,30,30,30
26,26,26,26,26,27,23,30,30,30,30
19,19,19,21,22,30,20,30,30,30,21
30,30,30,30,28,25,32,30,30,30,31
21,21,21,21,21,16,17,30,30,30,21
19,19,19,21,20,25,18,30,30,30,25
20,20,20,21,21,18,20,30,30,30,19
27,27,27,26,27,26,24,30,30,30,33
27,27,27,23,24,32,26,30,30,30,27
24,24,24,22,27,26,28,30,30,30,26
28,28,28,28,27,26,25,30,30,30,27
28,28,28,30,30,25,28,30,30,30,28
25,25,25,25,26,26,23,30,30,30,26
29,29,29,28,28,27,30,30,30,30,29
25,25,25,27,27,19,23,30,30,30,27
27,27,27,26,26,24,25,30,30,30,28
25,25,25,24,25,23,26,30,30,30,26
20,20,20,21,23,22,21,30,30,30,20
33,33,33,33,34,37,37,30,30,30,34
29,29,29,27,24,28,24,30,30,30,29
24,24,24,25,24,21,25,30,30,30,25
25,25,25,26,28,25,25,30,30,30,26
26,26,26,25,27,28,27,30,30,30,25
22,22,22,24,22,27,24,30,30,30,24
31,31,31,31,28,29,32,30,30,30,29
31,31,31,27,30,33,32,30,30,30,32
28,28,28,28,27,25,28,30,30,30,29
25,25,25,25,25,20,25,30,30,30,26
25,25,25,25,24,24,25,30,30,30,22
23,23,23,26,25,28,22,30,30,30,24
30,30,30,26,27,28,29,38,38,38,32
28,28,28,26,26,32,26,37,37,37,26
20,20,20,20,21,25,20,38,38,38,18
24,24,24,24,23,20,24,37,37,37,24
30,30,30,32,31,32,30,38,38,38,30
22,22,22,23,21,27,21,37,37,37,20
32,32,32,30,29,24,32,38,38,38,36
26,26,26,26,25,28,31,37,37,37,26
22,22,22,23,24,23,23,38,38,38,22
31,31,31,30,30,29,29,37,37,37,28
25,25,25,25,23,23,24,38,38,38,29
22,22,22,24,20,28,23,37,37,37,25
27,27,27,28,27,31,31,38,38,38,29
25,25,25,25,31,26,23,37,37,37,25
24,24,24,27,26,19,24,38,38,38,24
26,26,26,23,25,26,26,37,37,37,26
25,25,25,25,28,17,26,38,38,38,26
28,28,28,29,26,23,27,37,37,37,31
20,20,20,21,19,23,20,38,38,38,20
19,19,19,18,16,24,17,37,37,37,20
27,27,27,23,29,29,27,38,38,38,27
30,30,30,31,30,24,31,37,37,37,31
22,22,22,19,22,24,22,38,38,38,22
25,25,25,26,27,28,26,37,37,37,27
20,20,20,21,21,23,25,38,38,38,20
22,22,22,21,25,21,26,37,37,37,24
24,24,24,23,24,21,23,38,38,38,25
27,27,27,27,21,26,26,37,37,37,27
8,8,8,9,10,10,8,20,20,20,8
