ucb,ts,ovr,egr,egr2,agr,agr2,efr,ac,aac,sft
28,28,28,27,27,26,26,23,45,50,21
26,26,26,28,28,24,25,26,46,50,27
31,31,31,28,28,31,30,28,46,50,29
26,26,26,25,25,27,28,27,44,50,29
26,26,26,26,26,22,22,21,44,50,24
20,20,20,21,21,24,19,28,44,50,23
33,33,33,34,34,30,30,29,46,50,29
23,23,23,26,26,25,26,26,45,50,28
28,28,28,32,32,21,27,26,43,50,26
22,22,22,24,24,20,24,30,46,50,23
26,26,26,26,26,26,28,20,46,50,27
23,23,23,24,23,25,26,26,43,50,25
29,29,29,31,31,24,27,21,46,50,29
21,21,21,20,20,20,21,22,39,50,19
28,28,28,27,26,27,28,23,17,16,25
27,27,27,25,25,27,19,24,50,0,24
19,19,19,21,21,19,18,33,50,50,22
26,26,26,28,28,23,24,28,50,50,26
26,26,26,27,28,28,25,30,50,50,27
25,25,25,22,21,22,26,29,50,50,26
23,23,23,23,24,25,23,25,19,19,23
22,22,22,23,23,22,22,24,50,0,24
18,18,18,17,19,21,15,23,50,0,17
22,22,22,22,22,24,18,29,50,0,22
24,24,24,27,27,21,24,24,50,0,22
26,26,26,23,24,21,25,25,50,0,25
31,31,31,33,34,23,29,25,50,0,35
26,26,26,26,26,26,27,25,50,0,24
25,25,25,28,28,26,25,23,50,0,25
28,28,28,27,26,32,28,27,50,0,29
25,25,25,24,22,26,24,50,50,0,25
27,27,27,24,25,23,30,50,50,0,24
25,25,25,27,27,23,22,50,50,0,24
26,26,26,24,25,32,25,50,50,0,24
29,29,29,29,28,25,28,36,36,14,31
24,24,24,27,26,26,26,29,29,21,23
26,26,26,28,27,25,25,50,50,0,27
23,23,23,26,25,25,23,50,50,0,26
24,24,24,23,24,26,27,50,50,0,21
27,27,27,24,24,20,28,50,50,0,26
29,29,29,28,28,22,29,50,50,0,30
28,28,28,28,28,22,26,50,50,0,26
29,29,29,26,26,27,27,50,50,0,27
24,24,24,24,23,26,25,50,50,0,26
23,23,23,19,19,19,23,50,50,0,26
22,22,22,24,22,17,26,50,50,0,22
30,30,30,30,30,29,31,50,50,0,28
23,23,23,23,24,24,22,50,50,0,21
22,22,22,22,24,29,22,50,50,0,21
21,21,21,23,23,26,23,50,50,0,21
25,25,25,27,28,25,26,50,50,0,23
28,28,28,27,25,28,26,50,50,0,27
17,17,17,18,17,32,18,50,50,0,17
21,21,21,25,26,22,22,50,50,0,21
26,26,26,28,27,28,24,50,50,0,29
26,26,26,28,27,24,29,11,19,40,27
28,28,28,24,24,31,30,0,0,50,30
25,25,25,25,26,20,25,50,50,50,24
29,29,29,28,26,27,28,50,50,50,25
29,29,29,25,25,23,25,50,50,50,29
21,21,21,22,22,28,21,50,50,50,20
22,22,22,23,24,22,21,23,23,23,21
26,26,26,27,29,26,27,0,0,0,24
25,25,25,27,24,25,25,0,0,0,22
27,27,27,25,24,26,28,0,0,0,27
30,30,30,33,34,27,25,0,0,0,29
25,25,25,24,24,25,25,0,0,0,26
22,22,22,21,23,22,19,0,0,0,22
26,26,26,26,28,29,26,0,0,0,29
25,25,25,27,24,27,28,0,0,0,25
21,21,21,23,22,19,22,0,0,0,22
14,14,14,14,15,29,14,0,0,0,15
23,23,23,25,27,24,25,0,0,0,22
31,31,31,31,32,26,29,0,0,0,32
33,33,33,36,33,26,34,0,0,0,34
23,23,23,23,24,19,24,19,19,19,21
29,29,29,31,29,33,25,50,50,50,29
20,20,20,18,19,23,20,50,50,50,19
25,25,25,27,26,21,23,50,50,50,27
26,26,26,28,31,28,28,50,50,50,24
21,21,21,20,22,24,20,50,50,50,21
28,28,28,24,23,20,28,50,50,50,32
26,26,26,24,25,26,23,5,5,5,26
34,34,34,35,34,25,35,0,0,0,34
16,16,16,19,19,16,16,0,0,0,19
23,23,23,25,25,23,24,0,0,0,21
25,25,25,23,27,25,26,0,0,0,22
25,25,25,20,19,23,21,0,0,0,23
22,22,22,22,18,23,24,0,0,0,24
29,29,29,26,27,26,27,3,3,3,28
25,25,25,26,26,23,23,0,0,0,27
25,25,25,27,28,29,24,0,0,0,24
27,27,27,28,29,28,28,0,0,0,24
24,24,24,25,27,27,26,0,0,0,24
26,26,26,27,27,25,28,0,0,0,25
27,27,27,31,29,29,29,0,0,0,27
17,17,17,16,17,19,14,2,2,2,16
22,22,22,25,22,20,22,0,0,0,22
28,28,28,27,26,23,27,0,0,0,28
24,24,24,23,25,23,25,0,0,0,24
25,25,25,24,24,22,21,0,0,0,23
32,32,32,33,32,29,33,0,0,0,31
28,28,28,28,28,27,27,0,0,0,28
20,20,20,21,21,22,23,0,0,0,20
28,28,28,30,30,30,29,0,0,0,28
33,33,33,32,29,35,33,0,0,0,33
25,25,25,26,26,28,25,0,0,0,25
20,20,20,19,21,23,22,36,36,36,19
19,19,19,20,20,23,19,46,46,46,20
24,24,24,25,24,22,23,50,50,50,22
25,25,25,27,27,30,25,50,50,50,24
30,30,30,29,28,30,31,50,50,50,29
28,28,28,27,24,34,28,50,50,50,29
29,29,29,30,31,27,29,50,50,50,29
25,25,25,26,27,18,24,46,46,46,25
24,24,24,24,25,22,26,10,10,10,22
29,29,29,28,30,28,29,17,17,17,30
20,20,20,21,21,18,20,1,1,1,20
26,26,26,26,26,25,26,0,0,0,25
21,21,21,22,26,16,21,0,0,0,21
26,26,26,27,27,27,27,0,0,0,23
19,19,19,19,17,22,20,0,0,0,19
30,30,30,26,25,26,30,0,0,0,30
25,25,25,26,26,23,26,16,16,16,26
31,31,31,29,27,26,32,50,50,50,31
26,26,26,27,28,25,24,50,50,50,26
21,21,21,21,21,28,22,16,16,16,21
21,21,21,21,23,23,22,0,0,0,23
26,26,26,26,27,21,23,0,0,0,26
23,23,23,25,26,30,24,0,0,0,23
22,22,22,23,21,26,21,0,0,0,21
24,24,24,22,20,23,24,0,0,0,24
25,25,25,25,24,18,24,0,0,0,24
21,21,21,23,23,29,21,0,0,0,21
33,33,33,32,31,23,32,0,0,0,34
24,24,24,22,21,24,22,0,0,0,24
24,24,24,25,23,24,25,0,0,0,24
26,26,26,26,27,19,26,0,0,0,27
25,25,25,26,30,30,25,0,0,0,25
22,22,22,22,22,27,23,0,0,0,22
26,26,26,24,25,24,26,0,0,0,27
24,24,24,21,21,24,25,0,0,0,23
26,26,26,24,23,25,27,10,10,10,25
27,27,27,24,22,23,27,0,0,0,27
25,25,25,26,25,25,25,0,0,0,24
22,22,22,25,27,22,22,0,0,0,22
23,23,23,22,28,27,24,0,0,0,23
22,22,22,25,27,30,21,0,0,0,22
25,25,25,28,27,25,24,0,0,0,25
30,30,30,30,31,32,29,0,0,0,30
22,22,22,24,23,21,21,0,0,0,23
26,26,26,27,25,26,26,0,0,0,26
26,26,26,27,25,24,25,0,0,0,26
25,25,25,25,27,18,25,0,0,0,26
24,24,24,25,24,24,25,0,0,0,26
23,23,23,26,27,23,23,0,0,0,23
23,23,23,21,21,22,21,0,0,0,23
23,23,23,23,22,26,22,0,0,0,23
24,24,24,23,24,24,24,0,0,0,24
27,27,27,27,26,26,29,0,0,0,26
22,22,22,21,22,21,22,0,0,0,22
27,27,27,28,27,23,26,0,0,0,27
29,29,29,29,28,25,29,18,18,18,29
27,27,27,26,31,29,27,45,45,45,27
33,33,33,31,28,16,32,0,0,0,33
23,23,23,22,24,22,22,0,0,0,23
23,23,23,24,23,26,23,0,0,0,22
25,25,25,26,28,17,24,0,0,0,25
32,32,32,31,31,33,31,0,0,0,31
29,29,29,29,29,19,29,19,19,19,29
27,27,27,29,29,19,27,50,50,50,28
27,27,27,26,26,33,28,50,50,50,27
26,26,26,28,28,25,26,44,44,44,26
27,27,27,27,27,28,25,50,50,50,27
21,21,21,22,22,28,21,50,50,50,22
23,23,23,22,22,23,23,50,50,50,23
26,26,26,26,29,27,28,50,50,50,26
22,22,22,23,25,24,22,50,50,50,22
23,23,23,22,21,27,24,50,50,50,23
18,18,18,17,16,20,18,50,50,50,19
26,26,26,26,26,26,27,50,50,50,26
22,22,22,24,23,23,22,50,50,50,22
31,31,31,31,33,20,32,50,50,50,31
24,24,24,23,23,25,25,50,50,50,24
24,24,24,26,27,25,23,50,50,50,24
21,21,21,22,22,33,22,50,50,50,21
30,30,30,30,31,22,28,50,50,50,30
24,24,24,23,24,28,23,50,50,50,24
27,27,27,29,31,22,28,50,50,50,28
24,24,24,24,23,25,24,50,50,50,24
28,28,28,28,29,24,28,50,50,50,28
27,27,27,23,23,26,27,50,50,50,26
21,21,21,21,24,29,21,50,50,50,22
31,31,31,30,29,24,31,50,50,50,31
23,23,23,24,25,26,22,50,50,50,24
23,23,23,23,23,25,23,50,50,50,23
19,19,19,20,20,25,19,50,50,50,19
24,24,24,23,24,26,24,50,50,50,24
20,20,20,19,19,24,20,50,50,50,20
25,25,25,24,26,29,25,50,50,50,25
24,24,24,25,28,22,24,50,50,50,24
31,31,31,28,23,21,29,50,50,50,31
24,24,24,26,27,27,24,39,39,39,25
24,24,24,23,23,23,24,50,50,50,25
27,27,27,28,29,29,27,50,50,50,27
28,28,28,29,29,21,27,50,50,50,28
25,25,25,25,23,25,26,50,50,50,25
27,27,27,27,27,26,26,50,50,50,27
23,23,23,23,26,24,23,50,50,50,25
20,20,20,21,23,24,20,50,50,50,20
26,26,26,26,25,31,26,50,50,50,26
26,26,26,26,26,26,25,50,50,50,26
23,23,23,23,24,30,22,50,50,50,24
30,30,30,30,29,31,30,50,50,50,30
27,27,27,29,28,29,27,50,50,50,27
26,26,26,27,30,18,25,50,50,50,26
30,30,30,29,29,27,30,50,50,50,30
24,24,24,25,24,23,23,50,50,50,24
24,24,24,23,25,21,24,50,50,50,24
31,31,31,31,32,22,31,50,50,50,31
23,23,23,22,22,24,23,50,50,50,23
27,27,27,27,27,26,27,50,50,50,28
