ucb,ts,ovr,egr,egr2,agr,agr2,efr,ac,aac,sft
27,27,27,26,26,21,25,26,36,36,26
24,24,24,24,24,26,19,26,39,39,25
26,26,26,27,27,28,23,27,22,22,32
22,22,22,23,23,27,26,31,32,32,29
29,29,29,29,29,27,27,32,31,31,25
31,31,31,26,26,23,30,23,34,34,30
29,29,29,30,30,28,28,25,24,24,28
25,25,25,26,26,25,24,22,25,25,26
23,23,23,23,23,24,24,27,20,20,25
23,23,23,23,23,23,21,29,19,19,24
22,22,22,22,22,22,24,22,22,22,23
26,26,26,25,26,24,25,23,23,23,24
19,19,19,19,19,26,21,29,22,22,23
21,21,21,24,20,28,23,24,22,22,23
17,17,17,16,19,26,17,22,21,21,20
31,31,31,31,31,31,31,28,22,22,32
28,28,28,26,26,30,31,24,21,21,27
27,27,27,25,25,28,23,33,19,19,27
22,22,22,21,20,24,19,18,18,18,24
21,21,21,20,25,34,24,35,20,20,18
24,24,24,24,21,28,30,22,18,18,24
20,20,20,17,17,24,24,24,20,20,24
25,25,25,26,26,22,24,24,21,21,28
20,20,20,20,20,24,24,27,20,20,20
27,27,27,24,24,16,27,25,17,17,27
24,24,24,21,22,23,25,21,20,20,23
24,24,24,24,25,24,22,22,19,19,24
26,26,26,26,30,22,25,25,20,20,26
26,26,26,27,29,27,22,24,21,21,32
27,27,27,26,27,31,27,26,19,19,26
17,17,17,18,16,22,18,31,20,20,17
26,26,26,23,24,28,25,21,21,21,21
26,26,26,26,26,24,27,33,19,19,25
26,26,26,28,23,26,23,20,20,20,22
22,22,22,28,29,28,21,21,21,21,22
28,28,28,29,28,28,28,31,19,19,29
24,24,24,24,23,27,25,31,20,20,25
26,26,26,31,30,24,24,17,17,17,21
23,23,23,20,21,23,24,17,17,17,20
27,27,27,28,28,26,28,16,16,16,32
27,27,27,28,28,24,27,34,16,16,24
23,23,23,21,21,21,23,38,17,17,27
20,20,20,19,19,20,22,19,19,19,24
18,18,18,18,17,18,19,18,18,18,18
21,21,21,17,17,23,23,18,18,18,20
26,26,26,28,24,27,28,18,18,18,26
26,26,26,28,28,19,27,16,16,16,24
20,20,20,20,21,25,21,15,15,15,20
25,25,25,27,27,30,25,15,15,15,26
30,30,30,30,30,23,28,15,15,15,30
23,23,23,25,26,23,24,16,16,16,23
24,24,24,21,23,20,22,18,18,18,23
22,22,22,23,20,33,23,13,13,13,24
24,24,24,26,25,29,23,13,13,13,24
28,28,28,30,27,24,28,12,12,12,27
23,23,23,21,22,23,24,15,15,15,22
26,26,26,28,28,23,24,14,14,14,26
26,26,26,26,25,27,24,17,17,17,25
27,27,27,26,26,27,26,14,14,14,29
21,21,21,27,27,27,25,14,14,14,23
23,23,23,24,22,28,27,16,16,16,26
19,19,19,22,21,23,20,22,22,22,18
26,26,26,25,27,24,25,24,24,24,22
21,21,21,23,22,25,25,22,22,22,18
26,26,26,30,31,25,25,31,31,31,26
1,1,1,1,1,1,1,2,2,2,1
