ucb,ts,ovr,egr,egr2,agr,agr2,efr,ac,aac,sft
28,28,28,25,25,30,28,27,34,34,29
23,23,23,23,23,25,28,21,35,35,20
28,28,28,25,25,28,27,23,33,33,20
27,27,27,26,26,22,23,24,31,31,21
22,22,22,24,24,24,24,19,32,32,22
23,23,23,24,24,23,22,27,19,19,18
23,23,23,24,24,20,20,25,18,18,22
30,30,30,33,33,22,27,31,19,19,29
23,23,23,25,25,28,20,25,19,19,23
26,26,26,24,24,16,28,24,18,18,25
26,26,26,26,26,28,24,24,16,16,24
22,22,22,23,22,20,23,23,15,15,24
24,24,24,24,24,19,22,20,13,13,24
19,19,19,16,18,20,21,30,14,14,19
26,26,26,27,28,23,26,23,12,12,23
21,21,21,19,19,25,27,24,12,12,22
26,26,26,28,28,28,29,20,13,13,23
28,28,28,30,30,29,30,24,12,12,24
25,25,25,26,23,19,28,25,13,13,23
28,28,28,29,28,19,25,20,13,13,27
26,26,26,28,27,22,24,24,12,12,24
25,25,25,26,26,23,23,25,13,13,23
24,24,24,21,25,19,23,21,12,12,23
22,22,22,24,24,22,20,35,12,12,22
27,27,27,28,28,24,27,27,13,13,21
20,20,20,17,18,23,23,23,12,12,24
24,24,24,24,23,22,24,26,13,13,28
27,27,27,25,25,29,30,28,13,13,22
27,27,27,26,24,24,27,17,12,12,27
29,29,29,28,27,25,29,24,13,13,24
29,29,29,30,28,30,26,38,12,12,31
29,29,29,24,25,25,30,12,12,12,26
24,24,24,26,26,24,21,13,13,13,27
28,28,28,30,25,30,27,12,12,12,22
30,30,30,32,31,24,29,13,13,13,28
28,28,28,29,30,26,24,13,13,13,29
22,22,22,22,23,27,23,12,12,12,23
24,24,24,23,22,24,24,13,13,13,29
22,22,22,21,22,28,29,12,12,12,19
33,33,33,30,28,26,26,12,12,12,30
24,24,24,21,21,25,24,13,13,13,25
30,30,30,30,30,30,28,12,12,12,31
20,20,20,21,21,22,24,13,13,13,22
27,27,27,27,26,25,26,13,13,13,27
23,23,23,21,21,23,21,12,12,12,24
23,23,23,25,25,20,25,13,13,13,23
30,30,30,32,32,33,29,12,12,12,28
29,29,29,29,28,24,28,12,12,12,27
21,21,21,21,25,22,21,13,13,13,22
25,25,25,23,23,32,25,12,12,12,25
22,22,22,26,25,26,21,13,13,13,20
27,27,27,26,24,29,29,13,13,13,26
19,19,19,20,19,26,20,12,12,12,17
22,22,22,26,25,19,21,13,13,13,22
20,20,20,20,23,26,20,12,12,12,25
26,26,26,24,25,26,21,12,12,12,25
29,29,29,31,31,26,27,13,13,13,31
21,21,21,21,20,30,19,12,12,12,22
26,26,26,25,29,24,27,13,13,13,28
22,22,22,26,26,26,28,13,13,13,22
33,33,33,32,32,22,31,12,12,12,32
30,30,30,31,32,28,29,13,13,13,29
20,20,20,21,21,22,23,12,12,12,22
27,27,27,29,26,23,23,12,12,12,24
28,28,28,24,25,29,31,13,13,13,26
24,24,24,25,26,23,25,12,12,12,21
28,28,28,25,29,28,28,13,13,13,27
19,19,19,20,18,19,18,13,13,13,22
26,26,26,26,26,23,24,12,12,12,25
24,24,24,24,23,28,23,13,13,13,24
21,21,21,25,22,25,26,12,12,12,22
18,18,18,16,21,23,18,12,12,12,17
26,26,26,28,28,25,26,13,13,13,25
29,29,29,29,28,24,25,12,12,12,27
33,33,33,32,33,26,34,12,12,12,34
18,18,18,20,17,20,19,10,10,10,18
22,22,22,20,22,22,26,9,9,9,22
26,26,26,28,27,27,26,10,10,10,27
24,24,24,22,23,28,24,9,9,9,20
29,29,29,27,24,29,27,9,9,9,29
28,28,28,29,29,29,29,9,9,9,28
25,25,25,25,26,35,25,9,9,9,21
29,29,29,29,30,27,28,10,10,10,29
30,30,30,33,32,25,31,10,10,10,30
19,19,19,22,22,19,19,9,9,9,20
23,23,23,25,23,27,24,10,10,10,21
26,26,26,24,24,24,27,9,9,9,25
24,24,24,21,22,28,22,9,9,9,20
21,21,21,21,21,26,23,9,9,9,23
23,23,23,24,19,24,21,9,9,9,25
27,27,27,26,24,27,25,10,10,10,29
25,25,25,27,26,25,24,10,10,10,26
26,26,26,27,26,27,25,9,9,9,23
24,24,24,23,23,27,26,10,10,10,24
25,25,25,24,22,28,27,9,9,9,24
26,26,26,26,30,28,26,9,9,9,26
22,22,22,21,22,20,19,9,9,9,21
23,23,23,22,19,21,23,9,9,9,23
26,26,26,27,26,21,25,10,10,10,26
22,22,22,23,23,23,21,10,10,10,24
28,28,28,27,27,21,24,9,9,9,28
32,32,32,33,32,25,33,10,10,10,33
29,29,29,31,25,26,26,9,9,9,29
25,25,25,26,26,25,26,9,9,9,25
31,31,31,29,29,33,32,9,9,9,31
32,32,32,33,28,34,32,9,9,9,32
29,29,29,30,30,26,29,10,10,10,27
24,24,24,21,23,25,24,10,10,10,23
26,26,26,25,29,28,26,9,9,9,27
26,26,26,25,24,28,27,10,10,10,28
24,24,24,22,22,23,24,9,9,9,23
17,17,17,18,19,19,16,9,9,9,18
25,25,25,26,27,19,25,9,9,9,24
22,22,22,21,20,24,22,9,9,9,22
25,25,25,24,25,26,26,10,10,10,27
30,30,30,30,27,22,26,10,10,10,30
