ucb,ts,ovr,egr,egr2,agr,agr2,efr,ac,aac,sft
28,28,28,31,31,30,28,31,31,31,28
21,21,21,22,19,21,21,32,32,32,22
26,26,26,23,21,24,26,28,28,28,26
33,33,33,30,32,23,34,26,26,26,33
24,24,24,25,23,20,23,28,28,28,24
28,28,28,29,28,28,27,27,27,27,28
26,26,26,26,27,26,27,28,28,28,26
29,29,29,27,28,22,30,27,27,27,30
25,25,25,24,30,27,27,27,27,27,25
26,26,26,29,29,26,25,28,28,28,26
24,24,24,24,26,33,24,27,27,27,23
27,27,27,24,25,27,26,27,27,27,27
30,30,30,29,30,22,32,27,27,27,30
19,19,19,21,21,22,19,28,28,28,19
23,23,23,23,20,24,22,26,26,26,23
22,22,22,23,24,22,22,28,28,28,22
20,20,20,20,17,23,18,27,27,27,21
28,28,28,31,32,27,28,28,28,28,28
18,18,18,17,18,32,19,27,27,27,18
24,24,24,22,21,22,24,27,27,27,24
34,34,34,33,34,30,34,28,28,28,34
26,26,26,26,27,27,27,27,27,27,26
24,24,24,21,23,23,23,27,27,27,24
26,26,26,25,26,23,26,27,27,27,27
27,27,27,28,28,25,28,28,28,28,27
22,22,22,21,25,27,21,26,26,26,21
32,32,32,32,32,22,32,28,28,28,32
20,20,20,22,24,24,20,27,27,27,21
27,27,27,26,26,31,24,28,28,28,27
29,29,29,27,29,28,29,27,27,27,29
28,28,28,28,32,17,28,27,27,27,28
29,29,29,30,30,24,29,28,28,28,28
26,26,26,23,23,24,26,27,27,27,26
27,27,27,27,26,18,25,27,27,27,27
27,27,27,28,26,23,27,27,27,27,27
23,23,23,24,21,29,24,28,28,28,23
24,24,24,25,24,20,24,26,26,26,23
26,26,26,26,26,32,27,28,28,28,26
23,23,23,25,24,22,23,27,27,27,23
31,31,31,31,29,20,30,28,28,28,31
25,25,25,24,24,32,26,27,27,27,25
25,25,25,27,26,26,26,27,27,27,25
27,27,27,30,24,27,28,28,28,28,27
25,25,25,27,28,25,23,27,27,27,25
23,23,23,22,23,27,22,27,27,27,23
24,24,24,26,26,25,23,27,27,27,23
22,22,22,22,27,23,22,28,28,28,22
24,24,24,24,25,30,24,26,26,26,24
31,31,31,33,35,20,31,28,28,28,30
20,20,20,20,21,20,20,27,27,27,21
29,29,29,30,33,20,29,28,28,28,29
20,20,20,21,24,29,21,27,27,27,21
23,23,23,23,23,27,23,28,28,28,23
27,27,27,26,24,25,27,30,30,30,27
26,26,26,29,24,26,26,30,30,30,26
22,22,22,23,21,26,22,30,30,30,22
21,21,21,24,24,27,21,30,30,30,21
24,24,24,25,28,22,24,30,30,30,24
29,29,29,30,29,23,29,30,30,30,29
31,31,31,29,32,30,31,30,30,30,32
18,18,18,17,23,19,18,30,30,30,19
17,17,17,16,19,23,17,30,30,30,17
24,24,24,23,27,27,25,30,30,30,24
31,31,31,31,29,31,28,30,30,30,31
25,25,25,25,25,26,26,30,30,30,25
25,25,25,25,24,24,25,30,30,30,25
26,26,26,25,27,20,26,30,30,30,26
20,20,20,20,23,21,20,30,30,30,20
26,26,26,24,26,26,25,30,30,30,26
27,27,27,29,28,32,28,30,30,30,26
24,24,24,24,25,23,24,30,30,30,24
25,25,25,25,20,33,25,30,30,30,25
22,22,22,23,18,16,21,30,30,30,22
28,28,28,27,29,23,28,30,30,30,28
26,26,26,25,24,29,27,30,30,30,26
32,32,32,31,33,31,32,30,30,30,32
29,29,29,29,30,30,29,30,30,30,29
21,21,21,20,20,30,21,30,30,30,21
25,25,25,25,25,26,25,34,34,34,26
32,32,32,31,29,26,33,35,35,35,32
28,28,28,28,27,16,28,35,35,35,28
27,27,27,26,26,22,28,35,35,35,26
