ucb,ts,ovr,egr,egr2,agr,agr2,efr,ac,aac,sft
28,28,28,27,27,22,26,21,22,22,21
25,25,25,23,23,25,32,23,23,23,28
31,31,31,28,28,29,30,22,22,22,29
20,20,20,23,23,27,26,25,24,24,25
27,27,27,23,23,29,27,20,25,25,23
23,23,23,22,22,23,20,27,13,13,20
30,30,30,31,31,27,27,26,13,13,29
22,22,22,25,25,18,27,27,13,13,25
26,26,26,28,28,25,29,26,12,12,24
22,22,22,22,22,22,28,26,12,12,21
25,25,25,25,25,21,27,21,13,13,26
26,26,26,25,26,24,27,29,13,13,28
27,27,27,27,27,22,27,21,12,12,27
25,25,25,24,24,26,23,22,12,12,29
25,25,25,24,21,18,25,26,13,13,20
24,24,24,26,26,24,26,25,13,13,27
29,29,29,27,27,27,26,25,12,12,30
22,22,22,20,20,21,24,24,12,12,20
29,29,29,28,27,21,28,19,13,13,25
22,22,22,23,22,27,23,24,13,13,21
24,24,24,26,29,20,24,26,12,12,22
26,26,26,25,25,26,28,26,12,12,26
17,17,17,18,20,16,18,30,13,13,14
23,23,23,19,19,23,21,26,13,13,26
30,30,30,31,31,23,28,22,12,12,24
22,22,22,23,22,19,23,21,6,6,21
30,30,30,32,31,20,28,22,7,7,34
24,24,24,24,24,22,25,25,6,6,22
25,25,25,26,24,26,25,25,6,6,25
30,30,30,29,28,28,28,29,6,6,27
26,26,26,25,25,25,23,43,7,7,26
29,29,29,24,25,21,32,6,6,6,24
25,25,25,23,23,25,22,6,6,6,26
26,26,26,22,25,30,25,6,6,6,24
24,24,24,22,25,26,23,7,7,7,22
31,31,31,32,33,23,31,6,6,6,34
28,28,28,30,29,23,25,6,6,6,27
23,23,23,26,25,27,23,6,6,6,26
25,25,25,24,25,29,28,7,7,7,24
23,23,23,20,20,24,24,6,6,6,24
25,25,25,26,26,24,25,6,6,6,28
28,28,28,28,28,28,28,6,6,6,24
26,26,26,23,23,28,28,7,7,7,24
26,26,26,26,25,28,27,6,6,6,28
23,23,23,21,21,21,23,6,6,6,26
16,16,16,18,18,17,20,6,6,6,16
31,31,31,33,33,26,32,7,7,7,27
25,25,25,25,28,26,26,6,6,6,23
18,18,18,20,24,25,18,6,6,6,19
17,17,17,19,19,26,19,6,6,6,19
24,24,24,28,29,22,25,7,7,7,20
26,26,26,27,25,26,26,6,6,6,23
17,17,17,18,17,30,14,6,6,6,19
23,23,23,25,28,22,22,6,6,6,23
27,27,27,27,26,27,25,7,7,7,30
26,26,26,24,25,26,23,6,6,6,25
26,26,26,30,30,25,24,6,6,6,24
21,21,21,21,20,28,21,6,6,6,21
22,22,22,21,25,22,21,7,7,7,26
21,21,21,25,25,29,23,6,6,6,21
27,27,27,26,26,20,27,6,6,6,28
25,25,25,24,27,27,24,6,6,6,24
23,23,23,26,26,23,24,7,7,7,26
25,25,25,27,26,23,23,6,6,6,24
31,31,31,27,26,26,32,6,6,6,29
30,30,30,31,34,27,27,6,6,6,29
26,26,26,25,27,26,26,7,7,7,27
20,20,20,19,23,24,17,6,6,6,23
24,24,24,26,28,25,24,6,6,6,25
25,25,25,27,24,27,28,6,6,6,25
22,22,22,24,21,22,25,7,7,7,21
16,16,16,16,17,29,16,6,6,6,15
25,25,25,27,29,24,27,6,6,6,24
27,27,27,27,26,22,27,6,6,6,30
32,32,32,31,30,23,33,7,7,7,33
22,22,22,26,23,24,23,6,6,6,20
23,23,23,21,23,23,29,6,6,6,21
28,28,28,30,29,31,28,6,6,6,29
28,28,28,28,29,28,28,7,7,7,26
22,22,22,20,17,22,20,6,6,6,24
29,29,29,30,28,26,30,6,6,6,27
22,22,22,26,27,28,24,6,6,6,20
26,26,26,26,27,24,25,7,7,7,26
30,30,30,31,30,21,31,6,6,6,32
18,18,18,21,21,16,16,6,6,6,19
27,27,27,27,25,25,28,6,6,6,25
22,22,22,22,24,24,23,7,7,7,23
27,27,27,24,21,29,23,6,6,6,23
24,24,24,24,22,25,26,6,6,6,26
26,26,26,23,24,23,24,6,6,6,28
30,30,30,27,29,28,28,7,7,7,32
25,25,25,25,26,27,26,6,6,6,22
27,27,27,28,29,30,28,6,6,6,26
22,22,22,21,23,29,24,6,6,6,22
29,29,29,30,28,24,29,7,7,7,28
21,21,21,25,25,23,23,6,6,6,21
19,19,19,18,19,17,18,6,6,6,18
20,20,20,23,20,18,20,6,6,6,20
29,29,29,28,27,24,28,7,7,7,29
24,24,24,23,25,21,27,6,6,6,24
25,25,25,24,26,22,21,6,6,6,25
32,32,32,31,32,25,33,6,6,6,31
29,29,29,29,27,26,26,7,7,7,29
24,24,24,25,25,24,25,6,6,6,24
30,30,30,30,30,32,31,6,6,6,30
35,35,35,36,31,37,35,6,6,6,35
24,24,24,25,25,29,24,7,7,7,24
30,30,30,27,27,29,28,6,6,6,29
27,27,27,26,24,25,27,6,6,6,26
24,24,24,23,24,26,25,6,6,6,26
22,22,22,22,22,21,22,7,7,7,23
20,20,20,21,22,22,19,6,6,6,21
20,20,20,21,24,18,20,6,6,6,19
23,23,23,24,23,25,23,6,6,6,23
28,28,28,27,26,27,29,7,7,7,28
30,30,30,30,29,24,28,6,6,6,30
24,24,24,23,23,27,24,6,6,6,25
21,21,21,22,22,19,21,6,6,6,21
27,27,27,25,27,28,29,7,7,7,26
21,21,21,22,26,20,21,6,6,6,21
26,26,26,27,29,27,27,6,6,6,25
19,19,19,19,17,24,20,6,6,6,19
27,27,27,23,24,25,27,7,7,7,29
23,23,23,24,22,25,24,6,6,6,22
21,21,21,23,21,24,20,6,6,6,21
26,26,26,25,24,27,26,6,6,6,26
20,20,20,20,20,23,19,7,7,7,20
25,25,25,25,27,23,24,6,6,6,28
26,26,26,26,25,21,25,6,6,6,26
23,23,23,25,26,26,24,6,6,6,23
17,17,17,18,16,27,14,7,7,7,16
26,26,26,24,22,27,26,6,6,6,26
27,27,27,27,26,20,26,6,6,6,26
23,23,23,25,25,29,23,6,6,6,23
