ucb,ts,ovr,egr,egr2,agr,agr2,efr,ac,aac,sft
22,22,22,23,23,24,24,27,43,50,29
24,24,24,22,22,26,25,24,43,50,23
23,23,23,26,26,19,22,26,43,46,25
24,24,24,25,25,23,22,23,50,50,21
25,25,25,23,23,27,27,30,49,49,25
27,27,27,26,26,29,34,23,45,45,26
23,23,23,22,22,28,28,23,18,12,26
29,29,29,26,26,29,22,24,42,42,24
19,19,19,15,15,26,22,27,47,47,21
30,30,30,28,28,30,26,20,48,48,29
27,27,27,23,23,27,25,31,45,45,24
26,26,26,25,26,26,27,25,41,41,24
26,26,26,24,24,27,28,26,39,39,24
27,27,27,28,24,32,29,26,36,36,27
29,29,29,28,27,22,25,20,37,37,32
26,26,26,22,22,26,18,21,39,39,25
21,21,21,23,23,21,22,29,32,32,24
22,22,22,24,24,17,22,32,24,24,22
23,23,23,22,23,29,24,19,15,15,27
26,26,26,29,30,23,23,20,15,15,27
24,24,24,24,25,26,28,28,14,14,22
22,22,22,23,23,30,24,18,14,14,22
20,20,20,19,23,21,15,21,10,10,23
19,19,19,19,19,23,17,28,11,11,21
27,27,27,26,26,24,27,23,11,11,23
28,28,28,25,26,23,29,27,10,10,25
24,24,24,26,27,26,28,24,11,11,30
24,24,24,26,26,28,27,25,10,10,26
33,33,33,36,34,32,33,29,12,12,32
26,26,26,23,24,32,26,27,10,10,29
28,28,28,27,25,27,25,41,9,9,26
24,24,24,23,24,24,29,11,11,11,21
19,19,19,21,21,19,20,10,10,10,20
25,25,25,25,24,25,24,11,11,11,23
23,23,23,21,20,27,24,10,10,10,21
27,27,27,28,27,27,31,12,12,12,26
30,30,30,34,33,27,25,10,10,10,27
26,26,26,27,26,32,26,9,9,9,25
25,25,25,26,25,27,24,9,9,9,21
29,29,29,26,26,22,28,6,6,6,28
25,25,25,24,24,20,25,8,8,8,26
26,26,26,26,26,20,22,6,6,6,24
29,29,29,26,26,27,25,8,8,8,23
23,23,23,23,22,23,24,7,7,7,23
18,18,18,20,20,18,18,7,7,7,25
26,26,26,28,26,25,28,8,8,8,24
33,33,33,31,31,30,34,5,5,5,31
25,25,25,23,26,28,24,4,4,4,23
23,23,23,23,27,26,23,3,3,3,22
21,21,21,23,23,24,23,4,4,4,21
22,22,22,24,25,24,23,3,3,3,20
30,30,30,31,29,30,28,4,4,4,29
19,19,19,20,17,32,20,4,4,4,19
20,20,20,24,25,21,23,3,3,3,20
22,22,22,24,25,26,20,4,4,4,25
29,29,29,27,28,27,26,3,3,3,28
20,20,20,22,22,17,18,4,4,4,18
24,24,24,24,23,29,26,3,3,3,27
19,19,19,20,22,21,20,4,4,4,22
23,23,23,27,27,25,25,4,4,4,23
30,30,30,29,29,21,28,3,3,3,29
29,29,29,28,31,25,28,4,4,4,28
25,25,25,24,26,23,26,3,3,3,23
21,21,21,25,20,23,23,4,4,4,20
28,28,28,26,25,25,29,3,3,3,27
30,30,30,31,32,29,25,4,4,4,29
27,27,27,24,26,25,27,4,4,4,26
25,25,25,24,26,19,22,3,3,3,24
28,28,28,28,30,29,28,4,4,4,31
26,26,26,28,25,24,29,3,3,3,24
21,21,21,23,22,21,22,4,4,4,22
17,17,17,17,18,28,17,3,3,3,18
25,25,25,25,27,22,25,4,4,4,24
29,29,29,29,30,26,27,4,4,4,32
30,30,30,33,30,25,31,3,3,3,31
16,16,16,22,21,20,17,4,4,4,14
20,20,20,18,20,16,24,3,3,3,20
28,28,28,30,31,27,30,4,4,4,31
22,22,22,20,21,28,24,3,3,3,20
26,26,26,24,23,24,24,4,4,4,28
29,29,29,30,26,24,30,4,4,4,29
25,25,25,29,30,31,25,3,3,3,21
25,25,25,23,24,25,20,4,4,4,25
31,31,31,32,31,28,32,3,3,3,31
18,18,18,17,17,18,18,4,4,4,21
22,22,22,22,24,22,23,3,3,3,21
25,25,25,23,29,23,24,4,4,4,22
23,23,23,18,19,25,19,4,4,4,21
23,23,23,23,19,20,25,3,3,3,25
32,32,32,29,30,27,30,4,4,4,32
26,26,26,27,27,26,24,3,3,3,26
27,27,27,25,28,29,26,4,4,4,26
28,28,28,29,30,25,29,3,3,3,25
26,26,26,27,29,27,28,4,4,4,26
26,26,26,27,27,23,28,4,4,4,25
24,24,24,28,26,26,26,3,3,3,24
19,19,19,18,19,23,16,4,4,4,18
25,25,25,26,25,23,25,3,3,3,25
28,28,28,25,24,23,27,4,4,4,28
25,25,25,24,24,22,24,3,3,3,25
25,25,25,24,24,22,21,4,4,4,23
30,30,30,31,28,29,31,4,4,4,29
27,27,27,27,27,26,26,3,3,3,27
20,20,20,21,21,20,21,4,4,4,20
27,27,27,29,29,27,26,3,3,3,27
31,31,31,32,33,31,29,4,4,4,31
28,28,28,29,29,27,28,3,3,3,28
26,26,26,25,25,25,24,4,4,4,25
31,31,31,30,32,25,31,4,4,4,30
27,27,27,28,29,27,26,3,3,3,29
27,27,27,25,23,16,27,4,4,4,28
21,21,21,22,23,19,20,3,3,3,22
22,22,22,23,26,18,22,4,4,4,21
22,22,22,19,20,24,22,3,3,3,22
29,29,29,28,27,30,30,4,4,4,27
22,22,22,24,23,22,22,4,4,4,22
23,23,23,24,24,28,23,7,7,7,24
19,19,19,20,20,21,19,8,8,8,19
24,24,24,26,24,25,24,6,6,6,23
25,25,25,26,26,16,25,8,8,8,25
24,24,24,23,25,27,25,6,6,6,21
21,21,21,21,21,22,22,8,8,8,21
25,25,25,21,20,25,25,7,7,7,25
26,26,26,25,25,28,27,7,7,7,25
23,23,23,25,25,28,22,8,8,8,23
26,26,26,23,22,27,28,6,6,6,26
21,21,21,21,21,22,22,8,8,8,19
19,19,19,21,21,23,22,6,6,6,20
22,22,22,20,23,25,19,8,8,8,22
24,24,24,24,23,29,25,7,7,7,24
27,27,27,28,26,27,26,7,7,7,26
28,28,28,26,24,23,26,8,8,8,28
25,25,25,23,20,22,24,6,6,6,24
21,21,21,21,21,23,21,8,8,8,21
29,29,29,30,31,29,28,6,6,6,30
26,26,26,24,23,22,26,8,8,8,26
25,25,25,26,22,25,26,7,7,7,25
27,27,27,27,28,18,27,7,7,7,28
25,25,25,26,30,30,25,8,8,8,25
18,18,18,20,18,25,19,6,6,6,18
30,30,30,28,29,28,32,8,8,8,31
22,22,22,19,19,28,23,6,6,6,21
28,28,28,28,29,27,29,8,8,8,27
30,30,30,27,27,22,30,7,7,7,30
24,24,24,23,24,24,24,7,7,7,23
26,26,26,29,31,20,26,8,8,8,26
21,21,21,22,26,27,22,6,6,6,21
20,20,20,23,25,26,19,8,8,8,20
23,23,23,24,23,23,22,6,6,6,23
29,29,29,29,30,29,28,7,7,7,29
22,22,22,24,23,21,21,6,6,6,23
27,27,27,28,24,29,27,7,7,7,27
24,24,24,23,25,32,25,8,8,8,24
27,27,27,27,29,20,27,6,6,6,28
25,25,25,24,23,25,24,7,7,7,27
24,24,24,27,28,22,24,3,3,3,24
23,23,23,23,23,20,23,4,4,4,23
23,23,23,23,22,24,22,4,4,4,23
25,25,25,26,27,25,25,3,3,3,25
27,27,27,27,24,24,29,4,4,4,28
25,25,25,24,25,24,25,3,3,3,25
23,23,23,24,23,21,22,4,4,4,23
22,22,22,22,23,20,24,3,3,3,22
24,24,24,23,18,26,24,4,4,4,24
33,33,33,31,28,18,32,4,4,4,33
24,24,24,21,23,23,23,3,3,3,24
25,25,25,26,25,24,25,4,4,4,24
26,26,26,27,29,16,25,3,3,3,26
32,32,32,31,31,31,31,4,4,4,31
27,27,27,27,29,31,27,3,3,3,27
23,23,23,21,23,31,23,4,4,4,22
23,23,23,24,24,19,22,4,4,4,23
21,21,21,19,19,24,21,3,3,3,21
25,25,25,25,25,24,27,4,4,4,25
26,26,26,25,25,21,26,3,3,3,27
29,29,29,30,30,25,29,4,4,4,29
25,25,25,25,22,24,23,3,3,3,25
30,30,30,29,29,22,30,4,4,4,30
25,25,25,26,27,27,24,4,4,4,25
31,31,31,32,33,27,31,3,3,3,30
26,26,26,26,26,22,25,4,4,4,26
29,29,29,27,28,28,29,3,3,3,29
17,17,17,17,15,30,18,4,4,4,17
28,28,28,29,29,23,27,4,4,4,28
28,28,28,26,25,27,29,4,4,4,28
25,25,25,24,24,19,24,4,4,4,25
22,22,22,22,21,28,24,4,4,4,22
25,25,25,24,23,23,26,3,3,3,25
23,23,23,21,21,26,24,4,4,4,22
28,28,28,28,29,27,28,4,4,4,28
22,22,22,22,21,28,22,4,4,4,22
22,22,22,26,26,25,22,5,5,5,23
29,29,29,29,26,23,29,6,6,6,28
21,21,21,22,23,26,21,6,6,6,21
28,28,28,27,26,27,29,5,5,5,27
27,27,27,27,27,21,27,6,6,6,27
28,28,28,27,27,30,28,5,5,5,28
28,28,28,29,26,24,28,6,6,6,28
29,29,29,30,32,27,29,5,5,5,29
21,21,21,22,22,23,21,6,6,6,21
28,28,28,27,26,30,28,6,6,6,28
24,24,24,27,30,34,26,9,9,9,24
25,25,25,25,26,22,25,8,8,8,24
26,26,26,25,23,29,26,8,8,8,25
24,24,24,23,22,22,24,9,9,9,24
