ucb,ts,ovr,egr,egr2,agr,agr2,efr,ac,aac,sft
22,22,22,23,23,24,24,27,44,50,29
24,24,24,22,22,26,25,24,43,50,23
19,19,19,22,22,19,20,22,47,50,21
24,24,24,25,25,23,22,23,44,50,21
24,24,24,24,24,28,28,29,47,50,26
30,30,30,29,29,26,31,22,44,50,27
17,17,17,16,16,20,20,21,45,50,22
27,27,27,24,24,25,24,24,45,50,21
22,22,22,18,18,29,23,24,44,50,24
28,28,28,26,26,30,26,20,46,50,27
24,24,24,24,24,24,22,30,47,50,23
27,27,27,26,27,25,24,24,46,50,25
21,21,21,19,19,26,23,29,48,50,21
29,29,29,30,30,30,29,28,41,50,31
24,24,24,23,24,27,22,27,47,50,29
27,27,27,25,25,27,19,24,47,50,24
19,19,19,21,21,19,18,33,48,50,22
26,26,26,28,28,23,24,28,46,50,26
26,26,26,27,28,28,25,30,44,50,28
24,24,24,21,20,21,25,30,46,49,25
25,25,25,23,24,27,27,23,45,46,25
27,27,27,26,26,31,27,25,47,3,25
31,31,31,32,30,28,34,28,47,47,36
27,27,27,27,27,27,31,22,49,49,27
28,28,28,25,25,29,28,26,48,48,30
25,25,25,28,27,30,22,26,47,47,24
20,20,20,18,17,28,22,24,47,47,16
25,25,25,25,23,23,22,22,3,47,22
23,23,23,20,20,22,23,29,48,48,27
22,22,22,23,24,18,22,23,50,50,21
26,26,26,27,29,25,27,47,47,47,26
22,22,22,25,24,26,19,47,47,47,23
26,26,26,26,26,28,27,47,47,47,27
25,25,25,27,28,19,26,47,47,47,27
26,26,26,26,25,20,27,47,47,47,26
19,19,19,18,19,25,17,48,48,48,16
25,25,25,23,24,24,26,49,49,49,22
27,27,27,24,25,25,27,50,50,50,24
26,26,26,27,26,24,23,50,50,50,29
23,23,23,26,26,30,22,50,50,50,24
21,21,21,22,22,28,21,50,50,50,20
22,22,22,22,22,28,24,50,50,50,24
21,21,21,24,24,23,23,50,50,50,22
26,26,26,26,27,24,25,50,50,50,24
27,27,27,31,31,31,27,50,50,50,24
28,28,28,26,28,33,24,50,50,50,28
20,20,20,20,20,21,19,50,50,50,22
27,27,27,27,26,26,28,50,50,50,29
28,28,28,28,26,21,28,50,50,50,29
29,29,29,27,27,24,27,50,50,50,29
25,25,25,23,22,25,24,50,50,50,27
22,22,22,23,25,22,24,50,50,50,23
33,33,33,32,33,18,32,50,50,50,33
29,29,29,25,24,28,28,50,50,50,29
24,24,24,22,23,22,26,50,50,50,21
24,24,24,26,25,22,27,50,50,50,25
28,28,28,24,24,31,30,50,50,50,30
25,25,25,25,26,20,25,50,50,50,24
29,29,29,28,26,27,28,50,50,50,25
29,29,29,25,25,23,25,50,50,50,29
21,21,21,22,22,28,21,50,50,50,20
23,23,23,24,21,25,24,50,50,50,24
24,24,24,23,21,24,23,50,50,50,26
25,25,25,23,26,25,25,50,50,50,28
23,23,23,25,26,24,22,50,50,50,23
20,20,20,17,16,23,25,50,50,50,21
25,25,25,26,26,25,25,50,50,50,24
28,28,28,29,27,28,31,50,50,50,28
24,24,24,24,22,21,24,50,50,50,21
25,25,25,23,26,23,22,50,50,50,25
29,29,29,27,28,31,28,50,50,50,28
36,36,36,36,35,21,36,50,50,50,35
27,27,27,25,23,26,25,50,50,50,28
